Feature1,Feature2,Feature3,Feature4,Feature5,Count_Total,Num_Objects,Avg_Object,Min_Object,Max_Object
34,63,,,,138,14,9.857142857142858,1,26
35,64,,,,138,12,11.5,1,27
33,34,63,,,138,14,9.857142857142858,1,26
34,60,65,,,138,23,6.0,1,21
33,34,60,65,,138,23,6.0,1,21
33,35,64,,,136,12,11.333333333333334,1,27
33,62,63,,,135,14,9.642857142857142,1,22
33,57,58,60,,135,27,5.0,1,19
58,62,63,,,132,16,8.25,1,19
34,58,60,65,,132,22,6.0,1,21
33,34,58,60,65,132,22,6.0,1,21
33,64,65,,,130,26,5.0,1,16
34,62,67,,,130,22,5.909090909090909,1,14
58,64,65,,,129,25,5.16,1,15
33,34,62,67,,129,22,5.863636363636363,1,14
57,60,62,,,128,29,4.413793103448276,1,19
57,58,64,,,127,27,4.703703703703703,1,16
34,58,62,67,,127,22,5.7727272727272725,1,13
35,58,64,,,126,12,10.5,1,26
33,34,58,62,67,126,22,5.7272727272727275,1,13
33,35,58,64,,125,12,10.416666666666666,1,26
33,58,62,63,,125,14,8.928571428571429,1,19
62,64,67,,,124,26,4.769230769230769,1,11
33,57,58,62,,124,29,4.275862068965517,1,19
34,58,63,,,123,14,8.785714285714286,1,22
33,34,58,63,,123,14,8.785714285714286,1,22
33,58,64,65,,122,24,5.083333333333333,1,15
34,64,67,,,121,22,5.5,1,12
34,60,62,65,,121,21,5.761904761904762,1,16
58,62,64,67,,121,26,4.653846153846154,1,10
33,34,60,62,65,121,21,5.761904761904762,1,16
60,64,67,,,119,25,4.76,1,10
33,34,64,67,,119,22,5.409090909090909,1,12
34,57,58,,,118,28,4.214285714285714,1,18
34,64,65,,,117,23,5.086956521739131,1,14
33,34,64,65,,117,23,5.086956521739131,1,14
33,62,64,67,,117,25,4.68,1,11
34,58,60,62,65,116,20,5.8,1,16
58,70,,,,114,21,5.428571428571429,1,17
33,57,64,,,114,27,4.222222222222222,1,10
33,34,57,58,,114,27,4.222222222222222,1,18
58,60,64,67,,114,25,4.56,1,10
33,58,62,64,67,114,25,4.56,1,10
34,58,64,67,,113,21,5.380952380952381,1,10
34,58,64,65,,112,21,5.333333333333333,1,13
33,34,58,64,65,112,21,5.333333333333333,1,13
33,34,58,64,67,111,21,5.285714285714286,1,10
62,64,65,,,110,23,4.782608695652174,1,15
33,60,64,67,,110,23,4.782608695652174,1,10
64,70,,,,107,20,5.35,1,17
34,60,67,,,107,20,5.35,1,11
33,34,60,67,,105,20,5.25,1,11
33,58,60,64,67,105,23,4.565217391304348,1,10
62,70,,,,104,20,5.2,1,17
34,62,63,,,104,11,9.454545454545455,1,22
60,64,65,,,104,21,4.9523809523809526,1,14
33,34,62,63,,104,11,9.454545454545455,1,22
33,62,64,65,,104,22,4.7272727272727275,1,15
34,58,60,67,,103,20,5.15,1,10
58,62,64,65,,103,22,4.681818181818182,1,15
33,57,60,62,,102,26,3.923076923076923,1,19
60,62,64,67,,102,23,4.434782608695652,1,10
57,58,60,62,,101,26,3.8846153846153846,1,19
33,34,58,60,67,101,20,5.05,1,10
58,60,62,64,67,100,23,4.3478260869565215,1,10
57,60,64,,,99,26,3.8076923076923075,1,13
58,64,70,,,99,18,5.5,1,17
33,58,62,64,65,99,21,4.714285714285714,1,15
35,60,64,,,98,10,9.8,1,19
60,70,,,,97,17,5.705882352941177,1,17
33,35,60,64,,97,10,9.7,1,19
58,60,64,65,,97,20,4.85,1,14
33,60,62,64,67,97,22,4.409090909090909,1,9
34,57,62,,,96,24,4.0,1,9
58,62,70,,,96,20,4.8,1,16
33,60,64,65,,96,20,4.8,1,14
34,62,64,67,,95,21,4.523809523809524,1,11
33,34,57,62,,94,24,3.9166666666666665,1,9
34,58,62,63,,94,11,8.545454545454545,1,18
33,34,58,62,63,94,11,8.545454545454545,1,18
33,34,62,64,67,94,21,4.476190476190476,1,11
35,62,64,,,92,10,9.2,1,20
34,60,62,67,,92,19,4.842105263157895,1,11
34,58,62,64,67,92,21,4.380952380952381,1,10
33,70,,,,91,21,4.333333333333333,1,17
60,63,,,,91,21,4.333333333333333,1,12
33,35,62,64,,91,10,9.1,1,20
34,62,64,65,,91,19,4.7894736842105265,1,13
60,62,64,65,,91,17,5.352941176470588,1,14
33,34,60,62,67,91,19,4.7894736842105265,1,11
33,34,62,64,65,91,19,4.7894736842105265,1,13
33,58,60,64,65,91,19,4.7894736842105265,1,14
62,64,70,,,90,15,6.0,1,16
33,57,58,64,,90,24,3.75,1,10
34,58,60,62,67,90,19,4.7368421052631575,1,10
57,62,64,,,89,25,3.56,1,13
35,58,60,64,,89,10,8.9,1,18
34,58,62,64,65,89,18,4.944444444444445,1,13
35,57,58,,,88,12,7.333333333333333,1,19
58,60,70,,,88,16,5.5,1,16
33,35,57,58,,88,12,7.333333333333333,1,19
33,35,58,60,64,88,10,8.8,1,18
34,70,,,,87,17,5.117647058823529,1,17
33,71,,,,86,23,3.739130434782609,1,16
58,60,63,,,86,21,4.095238095238095,1,12
60,64,70,,,86,15,5.733333333333333,1,16
34,60,64,65,,86,19,4.526315789473684,1,12
34,60,64,67,,86,18,4.777777777777778,1,9
33,34,60,64,65,86,19,4.526315789473684,1,12
33,57,58,60,62,86,24,3.5833333333333335,1,19
33,60,62,64,65,86,16,5375,1,14
58,62,64,70,,85,15,5.666666666666667,1,15
58,60,62,64,65,85,16,5.3125,1,14
33,58,70,,,84,19,4.421052631578948,1,17
33,34,60,64,67,84,18,4.666666666666667,1,9
33,60,63,,,83,19,4.368421052631579,1,12
35,58,62,64,,83,10,8.3,1,19
34,58,60,64,65,83,18,4.611111111111111,1,12
34,58,70,,,82,16,5125,1,17
60,62,70,,,82,15,5.466666666666667,1,16
33,35,58,62,64,82,10,8.2,1,19
34,58,60,64,67,82,18,4.555555555555555,1,9
58,71,,,,81,22,3.6818181818181817,1,15
33,34,70,,,81,17,4.764705882352941,1,17
34,57,60,,,81,22,3.6818181818181817,1,14
58,60,64,70,,81,15,5.4,1,15
35,57,60,,,80,13,6.153846153846154,1,19
33,35,57,60,,80,13,6.153846153846154,1,19
34,57,64,,,79,22,3.590909090909091,1,10
33,34,57,60,,79,22,3.590909090909091,1,14
33,58,60,63,,79,19,4.157894736842105,1,12
33,58,71,,,78,21,3.7142857142857144,1,15
57,58,60,64,,78,24,3.25,1,10
33,34,58,70,,77,16,4.8125,1,17
34,60,62,64,67,77,18,4.277777777777778,1,9
33,34,57,64,,76,22,3.4545454545454546,1,10
34,60,62,64,65,76,15,5.066666666666666,1,12
62,71,,,,75,20,3.75,1,14
60,62,64,70,,75,14,5.357142857142857,1,15
33,72,,,,74,28,2.642857142857143,1,8
60,71,,,,74,17,4.352941176470588,1,15
33,62,71,,,74,20,3.7,1,14
58,60,62,70,,74,15,4.933333333333334,1,15
33,62,70,,,73,18,4.055555555555555,1,15
33,64,70,,,73,17,4.294117647058823,1,17
34,62,70,,,73,16,4.5625,1,15
35,67,,,,72,12,6.0,2,21
33,35,67,,,72,12,6.0,2,21
33,60,71,,,72,17,4.235294117647059,1,15
34,64,70,,,72,15,4.8,1,17
34,71,,,,71,19,3.736842105263158,1,12
58,72,,,,71,28,2.5357142857142856,1,8
33,34,71,,,71,19,3.736842105263158,1,12
34,58,62,70,,71,16,4.4375,1,15
35,57,58,60,,71,12,5.916666666666667,1,19
33,35,57,58,60,71,12,5.916666666666667,1,19
35,58,67,,,70,12,5.833333333333333,1,21
33,35,58,67,,70,12,5.833333333333333,1,21
33,58,64,70,,70,16,4375,1,17
34,58,64,70,,70,13,5.384615384615385,1,17
35,60,62,64,,70,10,7.0,1,16
58,60,62,64,70,70,14,5.0,1,14
58,60,71,,,69,16,4.3125,1,15
58,62,71,,,69,18,3.8333333333333335,1,14
33,57,60,64,,69,23,3.0,1,8
33,58,62,70,,69,18,3.8333333333333335,1,15
33,35,60,62,64,69,10,6.9,1,16
64,71,,,,68,19,3.5789473684210527,1,14
65,67,,,,68,16,4.25,1,12
33,34,62,70,,68,16,4.25,1,15
33,58,62,71,,68,18,3.7777777777777777,1,14
57,58,62,64,,68,23,2.9565217391304346,1,10
33,64,71,,,67,19,3.526315789473684,1,14
60,62,71,,,67,16,4.1875,1,14
33,58,60,71,,67,16,4.1875,1,15
33,66,,,,66,13,5.076923076923077,1,20
33,58,72,,,66,25,2.64,1,8
33,65,67,,,66,16,4125,1,12
35,57,62,,,66,12,5.5,1,19
58,65,67,,,66,16,4125,1,11
33,34,64,70,,66,14,4.714285714285714,1,17
33,35,57,62,,66,12,5.5,1,19
33,60,62,71,,66,16,4125,1,14
34,57,58,62,,66,22,3.0,1,6
33,34,58,62,70,66,16,4125,1,15
33,60,70,,,65,15,4.333333333333333,1,13
34,57,58,60,,65,19,3.4210526315789473,1,13
33,34,58,64,70,65,13,5.0,1,17
34,35,,,,64,10,6.4,1,49
35,63,,,,64,9,7.111111111111111,2,19
33,35,63,,,64,9,7.111111111111111,2,19
34,35,60,,,64,10,6.4,1,49
34,58,71,,,64,17,3.764705882352941,1,11
58,64,71,,,64,18,3.5555555555555554,1,14
33,34,58,71,,64,17,3.764705882352941,1,11
33,58,65,67,,64,16,4.0,1,11
33,34,57,58,62,64,22,2.909090909090909,1,6
57,65,,,,63,24,2625,1,7
33,34,35,,,63,10,6.3,1,49
34,35,58,,,63,10,6.3,1,49
35,58,63,,,63,9,7.0,1,19
33,34,35,60,,63,10,6.3,1,49
33,35,58,63,,63,9,7.0,1,19
33,58,64,71,,63,18,3.5,1,14
34,35,58,60,,63,10,6.3,1,49
58,60,62,71,,63,15,4.2,1,14
33,34,57,58,60,63,19,3.3157894736842106,1,13
35,58,60,62,64,63,10,6.3,1,14
33,34,35,58,,62,10,6.2,1,49
33,57,62,64,,62,22,2.8181818181818183,1,6
34,57,58,64,,62,18,3.4444444444444446,1,10
33,34,35,58,60,62,10,6.2,1,49
33,58,60,62,71,62,15,4.133333333333334,1,14
35,60,67,,,61,12,5.083333333333333,1,20
33,35,60,67,,61,12,5.083333333333333,1,20
33,62,64,70,,61,13,4.6923076923076925,1,15
34,62,64,70,,61,11,5.545454545454546,1,15
34,58,62,64,70,61,11,5.545454545454546,1,15
48,65,,,,60,4,15.0,4,30
33,48,65,,,60,4,15.0,4,30
34,35,62,,,60,10,6.0,1,49
34,60,70,,,60,11,5.454545454545454,1,13
34,62,71,,,60,16,3.75,1,10
48,58,65,,,60,4,15.0,4,30
62,64,71,,,60,16,3.75,1,13
33,34,62,71,,60,16,3.75,1,10
33,48,58,65,,60,4,15.0,4,30
33,58,60,70,,60,14,4.285714285714286,1,13
34,35,60,62,,60,10,6.0,1,49
62,72,,,,59,28,2.107142857142857,1,5
60,64,71,,,59,14,4.214285714285714,1,14
33,34,35,62,,59,10,5.9,1,49
33,62,64,71,,59,16,3.6875,1,13
34,35,58,62,,59,10,5.9,1,49
35,57,58,62,,59,10,5.9,2,19
35,58,60,67,,59,12,4.916666666666667,1,20
33,34,35,60,62,59,10,5.9,1,49
33,34,57,58,64,59,18,3.2777777777777777,1,10
33,35,57,58,62,59,10,5.9,2,19
33,35,58,60,67,59,12,4.916666666666667,1,20
33,58,62,64,70,59,13,4.538461538461538,1,15
34,35,58,60,62,59,10,5.9,1,49
34,60,71,,,58,14,4.142857142857143,1,11
34,64,71,,,58,18,3.2222222222222223,1,10
33,34,60,71,,58,14,4.142857142857143,1,11
33,34,64,71,,58,18,3.2222222222222223,1,10
33,60,64,71,,58,14,4.142857142857143,1,14
34,58,60,70,,58,11,5.2727272727272725,1,13
33,34,35,58,62,58,10,5.8,1,49
34,72,,,,57,22,2.590909090909091,1,8
33,34,72,,,57,22,2.590909090909091,1,8
33,62,72,,,57,27,2.111111111111111,1,5
34,65,67,,,57,14,4.071428571428571,1,12
33,34,65,67,,57,14,4.071428571428571,1,12
58,61,,,,56,16,3.5,1,10
33,57,65,,,56,21,2.6666666666666665,1,7
62,65,67,,,56,16,3.5,1,12
33,60,64,70,,56,13,4.3076923076923075,1,13
57,60,62,64,,56,21,2.6666666666666665,1,11
58,60,64,71,,56,13,4.3076923076923075,1,14
58,62,64,71,,56,15,3.7333333333333334,1,13
33,34,62,64,70,56,11,5.090909090909091,1,15
33,61,,,,55,16,3.4375,1,11
57,67,,,,55,20,2.75,1,8
35,62,67,,,55,10,5.5,1,20
60,62,63,,,55,16,3.4375,1,10
33,34,60,70,,55,11,5.0,1,13
33,35,62,67,,55,10,5.5,1,20
33,62,65,67,,55,16,3.4375,1,12
34,58,65,67,,55,14,3.9285714285714284,1,11
35,57,60,62,,55,11,5.0,1,19
35,58,62,67,,55,10,5.5,1,20
58,62,65,67,,55,16,3.4375,1,11
60,62,64,71,,55,13,4.230769230769231,1,13
33,34,58,65,67,55,14,3.9285714285714284,1,11
33,35,57,60,62,55,11,5.0,1,19
33,35,58,62,67,55,10,5.5,1,20
33,57,58,60,64,55,21,2.619047619047619,1,7
33,58,60,64,71,55,13,4.230769230769231,1,14
33,58,62,64,71,55,15,3.6666666666666665,1,13
48,62,65,,,54,4,13.5,4,24
33,48,62,65,,54,4,13.5,4,24
34,58,60,71,,54,13,4.153846153846154,1,11
34,58,62,71,,54,14,3.857142857142857,1,10
34,58,64,71,,54,17,3.176470588235294,1,10
34,60,64,70,,54,10,5.4,1,13
48,58,62,65,,54,4,13.5,4,24
33,34,58,60,71,54,13,4.153846153846154,1,11
33,34,58,62,71,54,14,3.857142857142857,1,10
33,34,58,64,71,54,17,3.176470588235294,1,10
33,48,58,62,65,54,4,13.5,4,24
33,58,60,64,70,54,13,4.153846153846154,1,13
33,58,62,65,67,54,16,3375,1,11
33,60,62,64,71,54,13,4.153846153846154,1,13
34,58,60,64,70,54,10,5.4,1,13
64,72,,,,53,25,2.12,1,5
33,58,61,,,53,15,3.533333333333333,1,10
58,62,72,,,53,24,2.2083333333333335,1,5
33,60,62,70,,53,13,4.076923076923077,1,11
34,60,62,70,,53,11,4.818181818181818,1,11
34,60,62,71,,53,13,4.076923076923077,1,10
33,34,58,60,70,53,11,4.818181818181818,1,13
33,34,60,62,71,53,13,4.076923076923077,1,10
33,58,62,72,,52,23,2.260869565217391,1,5
58,60,62,63,,52,16,3.25,1,10
58,60,62,64,71,52,12,4.333333333333333,1,13
64,65,67,,,51,14,3.642857142857143,1,10
33,64,65,67,,51,14,3.642857142857143,1,10
34,58,60,62,70,51,11,4.636363636363637,1,11
60,72,,,,50,23,2.1739130434782608,1,6
63,64,,,,50,18,2.7777777777777777,1,4
34,35,48,,,50,2,25.0,1,49
34,58,72,,,50,19,2.6315789473684212,1,8
60,65,67,,,50,13,3.8461538461538463,1,10
33,34,35,48,,50,2,25.0,1,49
33,34,58,72,,50,19,2.6315789473684212,1,8
34,35,48,58,,50,2,25.0,1,49
34,35,48,60,,50,2,25.0,1,49
34,60,64,71,,50,14,3.5714285714285716,1,10
34,62,64,71,,50,15,3.3333333333333335,1,9
35,60,62,67,,50,10,5.0,1,19
33,34,35,48,58,50,2,25.0,1,49
33,34,35,48,60,50,2,25.0,1,49
33,34,60,64,71,50,14,3.5714285714285716,1,10
33,34,62,64,71,50,15,3.3333333333333335,1,9
33,35,60,62,67,50,10,5.0,1,19
34,35,48,58,60,50,2,25.0,1,49
35,57,58,60,62,50,10,5.0,1,19
35,58,60,62,67,50,10,5.0,1,19
34,60,63,,,49,13,3.769230769230769,1,9
33,34,60,63,,49,13,3.769230769230769,1,9
33,60,62,63,,49,14,3.5,1,10
34,35,48,62,,49,1,49.0,49,49
58,64,65,67,,49,14,3.5,1,9
33,34,35,48,62,49,1,49.0,49,49
33,34,60,64,70,49,10,4.9,1,13
33,58,60,62,70,49,13,3.769230769230769,1,11
33,58,64,65,67,49,14,3.5,1,9
34,35,48,58,62,49,1,49.0,49,49
34,35,48,60,62,49,1,49.0,49,49
34,58,60,62,71,49,12,4.083333333333333,1,10
33,69,,,,48,17,2.823529411764706,1,10
33,64,72,,,48,23,2.0869565217391304,1,5
58,63,64,,,48,18,2.6666666666666665,1,4
58,64,72,,,48,23,2.0869565217391304,1,5
33,60,65,67,,48,13,3.6923076923076925,1,10
34,57,60,62,,48,19,2.526315789473684,1,5
34,64,65,67,,48,13,3.6923076923076925,1,10
58,60,65,67,,48,13,3.6923076923076925,1,9
60,62,65,67,,48,13,3.6923076923076925,1,10
33,34,60,62,70,48,11,4.363636363636363,1,11
33,34,64,65,67,48,13,3.6923076923076925,1,10
33,57,58,62,64,48,20,2.4,1,5
33,60,62,64,70,48,12,4.0,1,11
34,60,62,64,70,48,10,4.8,1,11
58,69,,,,47,17,2.764705882352941,1,9
33,57,67,,,47,18,2.611111111111111,1,8
57,58,67,,,47,19,2.473684210526316,1,8
58,60,72,,,47,22,2.1363636363636362,1,6
33,34,57,60,62,47,19,2.473684210526316,1,5
33,60,62,65,67,47,13,3.6153846153846154,1,10
34,58,60,64,71,47,13,3.6153846153846154,1,10
58,60,62,65,67,47,13,3.6153846153846154,1,9
57,63,,,,46,15,3.066666666666667,1,11
34,48,65,,,46,2,23.0,16,30
33,34,48,65,,46,2,23.0,16,30
34,48,58,65,,46,2,23.0,16,30
34,58,60,63,,46,13,3.5384615384615383,1,9
34,62,65,67,,46,14,3.2857142857142856,1,12
33,34,48,58,65,46,2,23.0,16,30
33,34,58,60,63,46,13,3.5384615384615383,1,9
33,34,62,65,67,46,14,3.2857142857142856,1,12
33,58,60,62,63,46,14,3.2857142857142856,1,10
33,58,60,65,67,46,13,3.5384615384615383,1,9
34,58,62,64,71,46,14,3.2857142857142856,1,9
34,58,64,65,67,46,13,3.5384615384615383,1,9
34,60,62,64,71,46,13,3.5384615384615383,1,9
48,60,65,,,45,4,11.25,4,16
62,64,72,,,45,23,1.9565217391304348,1,5
33,48,60,65,,45,4,11.25,4,16
34,57,60,64,,45,18,2.5,1,7
48,58,60,65,,45,4,11.25,4,16
33,48,58,60,65,45,4,11.25,4,16
34,58,62,65,67,45,14,3.2142857142857144,1,11
33,60,72,,,44,20,2.2,1,6
33,63,64,,,44,16,2.75,1,4
34,57,65,,,44,18,2.4444444444444446,1,7
60,64,72,,,44,20,2.2,1,5
33,34,57,65,,44,18,2.4444444444444446,1,7
33,58,64,72,,44,21,2.0952380952380953,1,5
57,66,,,,43,10,4.3,1,20
34,62,72,,,43,22,1.9545454545454546,1,5
60,62,72,,,43,20,2.15,1,5
33,34,62,72,,43,22,1.9545454545454546,1,5
33,62,64,72,,43,22,1.9545454545454546,1,5
34,57,62,64,,43,17,2.5294117647058822,1,5
62,64,65,67,,43,14,3.0714285714285716,1,10
33,34,57,60,64,43,18,2.388888888888889,1,7
33,62,64,65,67,43,14,3.0714285714285716,1,10
57,58,65,,,42,19,2.210526315789474,1,5
33,58,60,72,,42,19,2.210526315789474,1,6
33,58,63,64,,42,16,2625,1,4
48,60,62,65,,42,4,10.5,4,16
58,62,64,72,,42,21,2.0,1,5
33,48,60,62,65,42,4,10.5,4,16
48,58,60,62,65,42,4,10.5,4,16
58,62,64,65,67,42,14,3.0,1,9
62,69,,,,41,15,2.7333333333333334,1,8
33,57,63,,,41,12,3.4166666666666665,1,11
33,57,66,,,41,8,5125,1,20
57,60,67,,,41,17,2.411764705882353,1,8
33,60,62,72,,41,19,2.1578947368421053,1,5
