year;ric;effect
2000;SPGI.K;negative
2008;SPGI.K;negative
2009;SPGI.K;negative
2003;ECL;negative
2011;ECL;negative
2012;ECL;negative
2012;ECL;negative
2013;ECL;negative
2018;ECL;negative
1997;BSX;negative
1998;BSX;negative
2009;ESRX.O;negative
2010;ESRX.O;negative
2011;ESRX.O;negative
2012;ESRX.O;negative
2013;ESRX.O;negative
2014;ESRX.O;negative
2013;ESRX.O;negative
1994;RTN;negative
1995;RTN;negative
1996;RTN;negative
1997;RTN;negative
1998;RTN;negative
1999;RTN;negative
2001;PLD;negative
2002;PLD;negative
2003;PLD;negative
2004;PLD;negative
2010;MU.O;negative
2011;MU.O;negative
2003;CI;negative
2004;CI;negative
2010;GM;negative
1997;WM;negative
2013;WM;negative
2016;KMB;negative
2017;KMB;negative
2009;EQIX.O;negative
2010;EQIX.O;negative
2011;EQIX.O;negative
2012;EQIX.O;negative
2013;EQIX.O;negative
2014;HRS;negative
2015;HRS;negative
2012;HRS;negative
2013;HRS;negative
2000;AIG;negative
2001;AIG;negative
2002;AIG;negative
2003;AIG;negative
2004;AIG;negative
2000;AIG;negative
2001;AIG;negative
2002;AIG;negative
2003;AIG;negative
2004;AIG;negative
2005;AIG;negative
2014;AIG;negative
2009;AIG;negative
2012;NOW;negative
2001;EXC;negative
2002;EXC;negative
2001;EXC;negative
2016;EXC;negative
2013;EXC;negative
2014;EXC;negative
2015;EXC;negative
2014;EXC;negative
2017;EXC;negative
2012;KMI;negative
2013;KMI;negative
2009;AEP;negative
2011;EW;negative
2011;EW;negative
2012;EW;negative
2013;EW;negative
2006;PGR;negative
2010;PGR;negative
2011;PGR;negative
2012;PGR;negative
2016;PGR;negative
2011;TSLA.O;negative
2012;TSLA.O;negative
2009;LVS;negative
2009;LVS;negative
2010;LVS;negative
2011;LVS;negative
2013;VRTX.O;negative
2014;VRTX.O;negative
2015;VRTX.O;negative
2001;BAX;negative
2002;BAX;negative
2003;BAX;negative
2004;BAX;negative
2013;BAX;negative
2014;BAX;negative
2015;BAX;negative
2016;BAX;negative
2017;BAX;negative
2018;BAX;negative
2019;BAX;negative
1996;MET;negative
1999;DG;negative
2000;DG;negative
2001;DG;negative
2002;DG;negative
2003;DG;negative
2004;DG;negative
1998;DG;negative
1999;DG;negative
2000;DG;negative
2016;SYY;negative
2017;SYY;negative
2001;COF;negative
2001;ROST.O;negative
2002;ROST.O;negative
2003;ROST.O;negative
2004;ROST.O;negative
1991;ATVI.O;negative
1992;ATVI.O;negative
1993;ATVI.O;negative
1994;ATVI.O;negative
1995;ATVI.O;negative
1996;ATVI.O;negative
1997;ATVI.O;negative
1998;ATVI.O;negative
1999;ATVI.O;negative
2000;ATVI.O;negative
2001;ATVI.O;negative
2002;ATVI.O;negative
2003;ATVI.O;negative
2004;ATVI.O;negative
2005;ATVI.O;negative
2006;ATVI.O;negative
2006;ATVI.O;negative
2008;ATVI.O;negative
2009;ATVI.O;negative
2006;HCA;negative
2007;HCA;negative
2008;HCA;negative
2015;MPC;negative
2013;WPZ;negative
2007;KDP;negative
2006;KDP;negative
2007;KDP;negative
2008;KDP;negative
2012;KDP;negative
2013;KDP;negative
2014;AABA.O;negative
2015;AABA.O;negative
2001;APC;negative
2013;VFC;negative
2002;PRU;negative
2003;PRU;negative
2004;PRU;negative
2005;PRU;negative
2013;KHC.O;negative
2014;KHC.O;negative
2015;KHC.O;negative
2017;KHC.O;negative
2017;KHC.O;negative
2015;KHC.O;negative
2016;KHC.O;negative
2017;KHC.O;negative
2018;KHC.O;negative
2003;F;negative
2004;F;negative
2005;F;negative
2006;F;negative
1996;LRCX.O;negative
1997;LRCX.O;negative
1998;LRCX.O;negative
1999;LRCX.O;negative
2000;LRCX.O;negative
2001;LRCX.O;negative
2002;LRCX.O;negative
2003;LRCX.O;negative
2004;LRCX.O;negative
2005;LRCX.O;negative
2006;LRCX.O;negative
2001;RHT;negative
2002;RHT;negative
2003;RHT;negative
2004;RHT;negative
2002;XEL.O;negative
2007;XEL.O;negative
2001;ADSK.O;negative
2002;ADSK.O;negative
2003;ADSK.O;negative
2004;ADSK.O;negative
2005;ADSK.O;negative
2006;ADSK.O;negative
2015;ADSK.O;negative
1998;STZ;negative
1999;STZ;negative
2000;STZ;negative
2001;STZ;negative
2002;STZ;negative
2002;NEM;negative
2003;NEM;negative
2011;NEM;negative
2012;NEM;negative
2013;NEM;negative
2017;NEM;negative
2002;PEG;negative
2003;PEG;negative
2002;PEG;negative
2007;PEG;negative
2011;BX;negative
2012;BX;negative
2013;PAYX.O;negative
2014;PAYX.O;negative
2017;PAYX.O;negative
2018;PAYX.O;negative
2004;AVB;negative
2005;AVB;negative
2006;AVB;negative
2013;REGN.O;negative
2014;REGN.O;negative
2014;REGN.O;negative
1998;OKE;negative
1999;OKE;negative
2000;OKE;negative
2001;OKE;negative
2005;OKE;negative
2009;MPLX.K;negative
2010;MPLX.K;negative
2011;MPLX.K;negative
2010;WMB;negative
2011;WMB;negative
2010;LYB;negative
2010;LYB;negative
2012;IQV;negative
2008;LUV;negative
2010;SIRI.O;negative
2011;SIRI.O;negative
2004;ES;negative
2016;PPG;negative
2017;PPG;negative
2018;PPG;negative
2006;TDG;negative
2007;TDG;negative
2008;TDG;negative
2009;TDG;negative
2013;DLR;negative
2014;DLR;negative
2011;HLT;negative
2012;HLT;negative
2013;HLT;negative
1997;FE;negative
1998;FE;negative
1999;FE;negative
2000;FE;negative
2001;FE;negative
2002;FE;negative
2003;FE;negative
2006;FE;negative
2002;FE;negative
2002;SCCO.K;negative
1995;CMI;negative
1996;CMI;negative
1997;CMI;negative
1998;CMI;negative
1999;CMI;negative
2000;CMI;negative
2001;CMI;negative
2004;CMI;negative
1997;KLAC.O;negative
1998;KLAC.O;negative
1999;KLAC.O;negative
2000;KLAC.O;negative
2001;KLAC.O;negative
2002;KLAC.O;negative
2003;KLAC.O;negative
2004;KLAC.O;negative
2005;KLAC.O;negative
2004;KLAC.O;negative
2005;KLAC.O;negative
2009;GPN;negative
2010;GPN;negative
2011;GPN;negative
2001;S;negative
2002;S;negative
2003;S;negative
2004;S;negative
1996;MCK;negative
1997;MCK;negative
1998;MCK;negative
1999;MCK;negative
2013;FLT;negative
2014;FLT;negative
2015;FLT;negative
2017;DTE;negative
2007;A;negative
2008;A;negative
2011;A;negative
2012;A;negative
2016;A;negative
2017;A;negative
2016;BLL;negative
2010;CCL;negative
2011;CCL;negative
2012;CCL;negative
2013;CCL;negative
2014;CCL;negative
2011;IDXX.O;negative
2012;IDXX.O;negative
2013;IDXX.O;negative
2015;HSY;negative
2009;PCAR.O;negative
2015;FTV;negative
2011;AWK;negative
2011;PH;negative
2003;ALXN.O;negative
2004;ALXN.O;negative
2007;CERN.O;negative
2009;RCL;negative
2010;RCL;negative
2011;RCL;negative
2011;MCHP.O;negative
2012;MCHP.O;negative
2011;MCHP.O;negative
2012;MCHP.O;negative
2013;MCHP.O;negative
2010;UAL;negative
2003;GLW;negative
2004;GLW;negative
2005;GLW;negative
2010;GLW;negative
2011;GLW;negative
2000;KR;negative
2001;KR;negative
2002;KR;negative
2003;KR;negative
2004;KR;negative
1998;KR;negative
1999;KR;negative
2000;KR;negative
2001;VRSN.O;negative
2002;VRSN.O;negative
2003;VRSN.O;negative
2004;VRSN.O;negative
2005;VRSN.O;negative
2012;HIG;negative
1998;STT;negative
1999;STT;negative
2000;STT;negative
2001;STT;negative
2002;STT;negative
2003;STT;negative
2004;STT;negative
2005;STT;negative
2006;STT;negative
2007;STT;negative
2008;STT;negative
2009;STT;negative
2010;STT;negative
2011;STT;negative
2012;STT;negative
2013;STT;negative
2014;STT;negative
2015;STT;negative
2014;SQ;negative
2015;SQ;negative
2016;SQ;negative
1995;BBY;negative
1996;BBY;negative
1997;BBY;negative
1998;BBY;negative
1999;BBY;negative
2012;BXP;negative
2008;VMC;negative
2007;VMC;negative
2008;VMC;negative
2009;VMC;negative
2010;VMC;negative
2010;VMC;negative
2011;VMC;negative
2011;DHI;negative
2012;DHI;negative
2012;DHI;negative
2013;DHI;negative
2004;FITB.O;negative
2005;FITB.O;negative
2006;FITB.O;negative
2000;CDNS.O;negative
2001;CDNS.O;negative
2002;CDNS.O;negative
1999;CDNS.O;negative
2000;CDNS.O;negative
2001;CDNS.O;negative
2002;CDNS.O;negative
2008;CDNS.O;negative
2004;AMTD.O;negative
2002;AMTD.O;negative
2003;AMTD.O;negative
2004;AMTD.O;negative
2005;AMTD.O;negative
1998;CA.O;negative
1999;CA.O;negative
2000;CA.O;negative
2001;CA.O;negative
2002;CA.O;negative
2003;CA.O;negative
2004;CA.O;negative
2005;CA.O;negative
2002;CA.O;negative
2003;CA.O;negative
2004;CA.O;negative
2005;CA.O;negative
2003;CA.O;negative
1995;CA.O;negative
1996;CA.O;negative
1997;CA.O;negative
1998;CA.O;negative
1999;CA.O;negative
2000;CA.O;negative
2001;CA.O;negative
2002;CA.O;negative
2003;CA.O;negative
2004;CA.O;negative
2005;CA.O;negative
2013;ROK;negative
2014;ROK;negative
2014;EXPE.O;negative
2000;CMS;negative
2001;CMS;negative
2002;CMS;negative
2000;CMS;negative
2001;CMS;negative
2013;MSCI.K;negative
2006;SEP;negative
2009;SEP;negative
2010;SEP;negative
2011;SEP;negative
2012;AMP;negative
2013;AMP;negative
2014;AMP;negative
2015;AMP;negative
2016;AMP;negative
2017;AMP;negative
2018;AMP;negative
2000;HCP;negative
2009;CDW.O;negative
2010;CDW.O;negative
2011;CDW.O;negative
2003;IAC.O;negative
2002;IAC.O;negative
2003;IAC.O;negative
2004;IAC.O;negative
2005;IAC.O;negative
2006;IAC.O;negative
2007;IAC.O;negative
2006;IAC.O;negative
2007;IAC.O;negative
2008;IAC.O;negative
2009;IAC.O;negative
2010;IAC.O;negative
2011;IAC.O;negative
2011;ABC;negative
2012;ABC;negative
2013;ABC;negative
2014;ABC;negative
2015;ABC;negative
2016;ABC;negative
2001;WDC.O;negative
2002;WDC.O;negative
2003;WDC.O;negative
2004;WDC.O;negative
2005;WDC.O;negative
2005;SYMC.O;negative
2012;SYMC.O;negative
2013;SYMC.O;negative
2011;LEN;negative
2012;LEN;negative
2013;LEN;negative
2009;LLL;negative
2010;LLL;negative
2011;LLL;negative
2012;LLL;negative
2013;LLL;negative
2014;LLL;negative
2017;LLL;negative
2003;LH;negative
2004;LH;negative
2005;LH;negative
2015;LH;negative
2016;LH;negative
2012;FDC;negative
2013;FDC;negative
2012;FDC;negative
2013;FDC;negative
2012;FDC;negative
2013;FDC;negative
2014;FDC;negative
2012;FDC;negative
2013;FDC;negative
2014;FDC;negative
2016;FDC;negative
2014;FDC;negative
2015;FDC;negative
2016;FDC;negative
2004;KMX;negative
2005;KMX;negative
2006;KMX;negative
2007;KMX;negative
2008;KMX;negative
2009;KMX;negative
2010;KMX;negative
2011;KMX;negative
2001;LNG;negative
1994;MXIM.O;negative
1995;MXIM.O;negative
1996;MXIM.O;negative
1997;MXIM.O;negative
1998;MXIM.O;negative
1999;MXIM.O;negative
2000;MXIM.O;negative
2001;MXIM.O;negative
2002;MXIM.O;negative
2003;MXIM.O;negative
2004;MXIM.O;negative
2005;MXIM.O;negative
2006;MXIM.O;negative
2008;GWW;negative
2013;WPC;negative
2014;WPC;negative
2015;WPC;negative
2005;NUE;negative
2011;TFX;negative
2012;TFX;negative
2013;TFX;negative
2013;TFX;negative
2014;TFX;negative
2015;TFX;negative
2003;PFG.O;negative
2003;PFG.O;negative
2004;PFG.O;negative
2011;PFG.O;negative
2012;PFG.O;negative
2013;MMP;negative
2014;MMP;negative
2015;MMP;negative
2010;AKAM.O;negative
2011;AKAM.O;negative
2012;AKAM.O;negative
2010;AKAM.O;negative
2011;AKAM.O;negative
2012;AKAM.O;negative
2013;AKAM.O;negative
2002;L;negative
2003;L;negative
2004;L;negative
2000;L;negative
2001;L;negative
2002;L;negative
2003;L;negative
2004;L;negative
2005;L;negative
2001;L;negative
2002;L;negative
2003;L;negative
2004;L;negative
2005;L;negative
2004;CNP;negative
2005;CNP;negative
2002;CNP;negative
2003;CNP;negative
2004;CNP;negative
2004;COO;negative
2005;COO;negative
2007;COO;negative
2008;COO;negative
2016;COO;negative
2017;COO;negative
2001;ALGN.O;negative
2002;ALGN.O;negative
2003;ALGN.O;negative
2011;ALGN.O;negative
2012;ALGN.O;negative
1997;HBAN.O;negative
1998;HBAN.O;negative
1999;HBAN.O;negative
2000;HBAN.O;negative
2001;HBAN.O;negative
2002;HBAN.O;negative
1992;HBAN.O;negative
1993;HBAN.O;negative
1994;HBAN.O;negative
1995;HBAN.O;negative
1996;HBAN.O;negative
1997;HBAN.O;negative
1998;HBAN.O;negative
1999;HBAN.O;negative
2000;HBAN.O;negative
2001;HBAN.O;negative
2002;HBAN.O;negative
2003;HBAN.O;negative
2011;MGM;negative
2008;MGM;negative
2009;MGM;negative
2010;MGM;negative
2012;MGM;negative
1995;DRI;negative
1996;DRI;negative
1997;DRI;negative
1998;DRI;negative
1999;DRI;negative
2000;DRI;negative
2001;DRI;negative
2002;DRI;negative
2003;DRI;negative
2004;DRI;negative
2002;CAG;negative
2003;CAG;negative
2004;CAG;negative
1996;CAG;negative
1997;CAG;negative
1998;CAG;negative
1999;CAG;negative
2000;CAG;negative
2001;CAG;negative
1998;CAG;negative
1999;CAG;negative
2000;CAG;negative
2001;CAG;negative
2004;CAG;negative
2008;GPC;negative
2009;GPC;negative
2010;GPC;negative
2011;GPC;negative
2012;SGEN.O;negative
1999;CAH;negative
2000;CAH;negative
2001;CAH;negative
2002;CAH;negative
2003;CAH;negative
2004;CAH;negative
2008;BEN;negative
2009;BEN;negative
2010;BEN;negative
1999;TTWO.O;negative
2000;TTWO.O;negative
2001;TTWO.O;negative
2002;TTWO.O;negative
1996;TTWO.O;negative
1997;TTWO.O;negative
1998;TTWO.O;negative
1999;TTWO.O;negative
2000;TTWO.O;negative
2001;TTWO.O;negative
2002;TTWO.O;negative
2003;TTWO.O;negative
2004;TTWO.O;negative
2005;TTWO.O;negative
2006;TTWO.O;negative
1999;TTWO.O;negative
2000;TTWO.O;negative
2001;TTWO.O;negative
2012;SUI;negative
2013;SUI;negative
2007;HOLX.O;negative
2008;XYL;negative
2009;XYL;negative
2010;NTAP.O;negative
2011;NTAP.O;negative
2013;ATO;negative
2014;ATO;negative
2015;ATO;negative
2014;BURL.K;negative
2004;WCG;negative
2005;WCG;negative
2006;WCG;negative
2007;WCG;negative
2009;FTNT.O;negative
2002;CNA;negative
2003;CNA;negative
2004;CNA;negative
2001;CNA;negative
2002;CNA;negative
2003;CNA;negative
2004;CNA;negative
2005;CNA;negative
2000;CNA;negative
2001;CNA;negative
2002;CNA;negative
2012;DATA.K;negative
2013;DATA.K;negative
2000;KSU;negative
2003;KSU;negative
2004;KSU;negative
2005;KSU;negative
2007;KSU;negative
2008;KSU;negative
2009;KSU;negative
2005;IEP.O;negative
2005;LDOS.K;negative
2006;LDOS.K;negative
2007;LDOS.K;negative
2008;LDOS.K;negative
2002;IT;negative
2003;IT;negative
2011;IFF;negative
2013;IFF;negative
2014;IFF;negative
2015;IFF;negative
2015;IFF;negative
2002;CTXS.O;negative
2003;CTXS.O;negative
2004;CTXS.O;negative
2003;CTXS.O;negative
2004;CTXS.O;negative
2005;CTXS.O;negative
2006;CTXS.O;negative
2009;JEC;negative
2010;JEC;negative
2004;ALLY.K;negative
2003;ALLY.K;negative
2004;ALLY.K;negative
2005;ALLY.K;negative
2001;ALLY.K;negative
2002;ALLY.K;negative
2003;ALLY.K;negative
2004;ALLY.K;negative
2005;ALLY.K;negative
2006;ALLY.K;negative
2010;ALLY.K;negative
2009;ALLY.K;negative
2010;ALLY.K;negative
2011;ALLY.K;negative
2001;DRE;negative
2002;DRE;negative
2001;ELS;negative
2002;ELS;negative
2003;ELS;negative
2004;ELS;negative
2004;MKTX.O;negative
2005;MKTX.O;negative
2010;FNF;negative
2010;FNF;negative
2011;FNF;negative
2013;FNF;negative
2014;FNF;negative
2013;FNF;negative
2002;VNO;negative
2006;IEX;negative
2013;UHS;negative
2011;MAS;negative
2012;MAS;negative
2013;MAS;negative
2013;MAS;negative
2015;MAS;negative
2004;XRAY.O;negative
2005;XRAY.O;negative
2006;XRAY.O;negative
2010;XRAY.O;negative
2011;XRAY.O;negative
2016;XRAY.O;negative
2008;REG;negative
2007;REG;negative
2008;REG;negative
2009;REG;negative
2010;REG;negative
1997;JBHT.O;negative
1998;JBHT.O;negative
1999;JBHT.O;negative
2000;JBHT.O;negative
2017;EXAS.O;negative
2001;Y;negative
2005;Y;negative
2006;Y;negative
2007;Y;negative
2008;Y;negative
2012;WGP;negative
2013;WGP;negative
2014;WGP;negative
2015;WGP;negative
2015;WGP;negative
2001;LNC;negative
2002;LNC;negative
2010;LNC;negative
2011;LNC;negative
2012;LNC;negative
2015;ZBRA.O;negative
2016;ZBRA.O;negative
1999;JKHY.O;negative
2011;JKHY.O;negative
2012;JKHY.O;negative
2013;JKHY.O;negative
2009;JKHY.O;negative
2010;JKHY.O;negative
2011;JKHY.O;negative
2012;JKHY.O;negative
2013;JKHY.O;negative
2014;JKHY.O;negative
2018;JKHY.O;negative
2013;TAP;negative
2012;TAP;negative
2010;TAP;negative
2011;TAP;negative
2012;TAP;negative
2013;TAP;negative
2014;TAP;negative
2015;TAP;negative
2016;TAP;negative
2016;TAP;negative
2017;TAP;negative
2018;TAP;negative
2002;NI;negative
2003;NI;negative
2004;NI;negative
2007;NI;negative
2008;NI;negative
2009;NI;negative
2010;NI;negative
2011;NI;negative
2006;CLR;negative
2019;ROL;negative
2004;FMC;negative
2005;FMC;negative
2006;FMC;negative
2001;TSCO.O;negative
2002;TSCO.O;negative
2003;TSCO.O;negative
2004;TSCO.O;negative
2008;TSCO.O;negative
2013;NCLH.K;negative
2014;NCLH.K;negative
2015;NCLH.K;negative
2007;JEF;negative
2008;JEF;negative
2009;JEF;negative
2010;JEF;negative
2010;JEF;negative
2011;JEF;negative
2012;JEF;negative
2013;JEF;negative
2010;CF;negative
2010;ULTI.O;negative
2013;ULTI.O;negative
2014;ULTI.O;negative
2015;ULTI.O;negative
2016;ULTI.O;negative
2017;ULTI.O;negative
2002;AES;negative
2003;AES;negative
2002;AES;negative
2003;AES;negative
2004;AES;negative
2005;AES;negative
2003;AES;negative
2004;AES;negative
2005;AES;negative
2003;AES;negative
2004;AES;negative
2005;AES;negative
2006;AES;negative
2004;AES;negative
2005;AES;negative
2006;AES;negative
2011;AES;negative
2012;AES;negative
2013;AES;negative
2016;EQH;negative
2017;EQH;negative
2017;EQH;negative
2014;EQH;negative
2015;EQH;negative
2016;EQH;negative
2017;EQH;negative
2018;EQH;negative
2015;EQH;negative
2016;EQH;negative
2017;EQH;negative
2018;EQH;negative
2005;SHLD.O;negative
2006;SHLD.O;negative
2010;FRT;negative
2007;SIVB.O;negative
2008;SIVB.O;negative
2009;SIVB.O;negative
2017;SIVB.O;negative
1994;BRO;negative
1995;BRO;negative
1996;BRO;negative
1997;BRO;negative
1998;BRO;negative
1999;BRO;negative
2001;FDS;negative
2002;FDS;negative
2003;FDS;negative
2000;NBL;negative
2001;NBL;negative
2007;PKG;negative
2008;PKG;negative
2009;PKG;negative
2015;PKG;negative
2002;NRG;negative
2013;TRMB.O;negative
2014;TRMB.O;negative
2013;EMN;negative
2014;AVY;negative
2011;AVY;negative
2012;AVY;negative
2013;AVY;negative
2014;AVY;negative
2015;AVY;negative
2012;VER;negative
2013;VER;negative
2014;VER;negative
2012;RPM;negative
2013;RPM;negative
2002;CMA;negative
1998;MTN;negative
1999;MTN;negative
2000;MTN;negative
2001;MTN;negative
2000;MTN;negative
2001;MTN;negative
2002;MTN;negative
2005;MTN;negative
2006;MTN;negative
2007;MTN;negative
2011;MTN;negative
2012;MTN;negative
2013;MTN;negative
2008;MTN;negative
2009;MTN;negative
2010;MTN;negative
2011;MTN;negative
2009;PKI;negative
2010;PKI;negative
2011;PKI;negative
2016;GWRE.K;negative
2017;GWRE.K;negative
2018;GWRE.K;negative
2007;IRM;negative
2008;IRM;negative
2009;IRM;negative
2010;IRM;negative
2011;IRM;negative
2012;IRM;negative
2013;IRM;negative
2015;IRM;negative
2018;IRM;negative
2013;SCE_pe;negative
2014;SCE_pe;negative
2012;NDSN.O;negative
2013;NDSN.O;negative
2007;TRGP.K;negative
2008;TRGP.K;negative
2009;TRGP.K;negative
2011;TRGP.K;negative
2012;TRGP.K;negative
2013;TRGP.K;negative
2014;TRGP.K;negative
2015;TRGP.K;negative
2009;MHK;negative
2010;MHK;negative
2010;MHK;negative
2017;MHK;negative
1999;URI;negative
2000;URI;negative
2001;URI;negative
2002;URI;negative
2003;URI;negative
1997;URI;negative
1998;URI;negative
1999;URI;negative
2000;URI;negative
2001;URI;negative
2002;URI;negative
2003;URI;negative
2004;URI;negative
1999;URI;negative
2000;URI;negative
2003;CMS_pb;negative
2000;CMS_pb;negative
2001;CMS_pb;negative
2002;CMS_pb;negative
2002;LII;negative
2003;LII;negative
1998;DVA;negative
1999;DVA;negative
1996;DVA;negative
1997;DVA;negative
2013;CONE.O;negative
2014;CONE.O;negative
2013;CONE.O;negative
2014;CONE.O;negative
2015;QRVO.O;negative
2016;QRVO.O;negative
2011;SC;negative
2012;SC;negative
2013;SC;negative
2014;SC;negative
2015;SC;negative
2016;SC;negative
1999;CY.O;negative
2000;CY.O;negative
2003;CY.O;negative
2005;CY.O;negative
2006;CY.O;negative
2007;CY.O;negative
2008;CY.O;negative
1997;KSS;negative
1998;KSS;negative
1999;KSS;negative
2000;KSS;negative
2001;KSS;negative
2002;KSS;negative
2003;KSS;negative
2004;KSS;negative
2005;KSS;negative
2006;KSS;negative
2007;KSS;negative
2008;KSS;negative
2009;KSS;negative
2010;KSS;negative
2011;KSS;negative
2011;KSS;negative
2012;KSS;negative
2012;KSS;negative
2000;SCI;negative
2001;SCI;negative
2002;SCI;negative
2003;SCI;negative
2004;SCI;negative
2005;SCI;negative
2001;SCI;negative
2002;SCI;negative
2003;SCI;negative
2004;SCI;negative
2005;SCI;negative
2006;SCI;negative
2013;SCI;negative
2012;MPW;negative
2011;MPW;negative
2012;MPW;negative
2010;SEIC.O;negative
2012;HFC;negative
2013;HFC;negative
2005;SPR;negative
2006;SPR;negative
2009;WEX;negative
2012;WEX;negative
2001;WEX;negative
2002;WEX;negative
2003;WEX;negative
2004;WEX;negative
2005;WEX;negative
2006;WEX;negative
2007;WEX;negative
2017;WEX;negative
2018;WEX;negative
2014;WEX;negative
2015;WEX;negative
2016;WEX;negative
2017;WEX;negative
2018;WEX;negative
