year;ric
2015;TJX
2016;TJX
1998;CVS
1999;CVS
2001;CVS
2005;CVS
2006;CVS
2007;CVS
2008;CVS
2009;CVS
2010;CVS
2011;CVS
2012;CVS
2014;CVS
2015;CVS
2016;CVS
2000;MTLQU.PK
2001;MTLQU.PK
2003;MTLQU.PK
2004;MTLQU.PK
2005;MTLQU.PK
2006;MTLQU.PK
2007;MTLQU.PK
2008;MTLQU.PK
2009;MTLQU.PK
2010;MTLQU.PK
2011;MTLQU.PK
2012;MTLQU.PK
2013;MTLQU.PK
2014;MTLQU.PK
2015;MTLQU.PK
2016;MTLQU.PK
1998;MCD
1999;MCD
2000;MCD
2001;MCD
2002;MCD
2003;MCD
2004;MCD
2005;MCD
2006;MCD
2007;MCD
2008;MCD
2009;MCD
2010;MCD
2011;MCD
2012;MCD
2013;MCD
2014;MCD
2015;MCD
2016;MCD
1998;WBA.O
2001;WBA.O
2002;WBA.O
2003;WBA.O
2012;WBA.O
2013;WBA.O
1998;BAC
1999;BAC
2000;BAC
2001;BAC
2002;BAC
2003;BAC
2004;BAC
2009;BAC
2010;BAC
2011;BAC
2012;BAC
2013;BAC
2014;BAC
2015;BAC
2016;BAC
1998;C
1999;C
2000;C
2001;C
2002;C
2003;C
2004;C
2005;C
2006;C
2007;C
2008;C
2009;C
2010;C
2011;C
2012;C
2013;C
2014;C
1998;UTX
1999;UTX
2000;UTX
2001;UTX
2002;UTX
2003;UTX
2004;UTX
2006;UTX
2007;UTX
2008;UTX
2009;UTX
2010;UTX
2011;UTX
2012;UTX
2013;UTX
2014;UTX
2015;UTX
1998;F
1999;F
2000;F
2001;F
2002;F
2003;F
2004;F
2005;F
2006;F
2007;F
2008;F
2009;F
2010;F
2011;F
2012;F
2013;F
2014;F
2015;F
2016;F
1998;LOW
1999;LOW
2000;LOW
2001;LOW
2002;LOW
2003;LOW
2004;LOW
2008;LOW
2014;LOW
1998;DIS
1999;DIS
2000;DIS
2002;DIS
2004;DIS
2005;DIS
2006;DIS
2007;DIS
2008;DIS
2009;DIS
2011;DIS
2012;DIS
2014;DIS
2015;DIS
1998;DRI
1999;DRI
2000;DRI
2001;DRI
2002;DRI
2003;DRI
2004;DRI
2005;DRI
2009;DRI
2011;DRI
2012;DRI
2013;DRI
2016;DRI
2009;GM
2010;GM
2011;GM
2012;GM
2014;GM
2015;GM
2016;GM
2000;MAR.O
2001;MAR.O
2002;MAR.O
2003;MAR.O
2005;MAR.O
2006;MAR.O
2007;MAR.O
2008;MAR.O
2009;MAR.O
2010;MAR.O
2012;MAR.O
2013;MAR.O
2014;MAR.O
2015;MAR.O
2016;MAR.O
1998;JBL
1999;JBL
2000;JBL
2001;JBL
2002;JBL
2003;JBL
2004;JBL
2007;JBL
2010;JBL
2011;JBL
2012;JBL
2014;JBL
2014;ARMK.K
2015;ARMK.K
2000;FDX
2001;FDX
2002;FDX
2003;FDX
2006;FDX
2007;FDX
2012;FDX
2013;FDX
2014;FDX
2015;FDX
1998;LEA
1999;LEA
2000;LEA
2001;LEA
2002;LEA
2003;LEA
2004;LEA
2005;LEA
2006;LEA
2007;LEA
2008;LEA
2009;LEA
2010;LEA
2011;LEA
2012;LEA
2013;LEA
2014;LEA
2015;LEA
2016;LEA
1998;CMCSA.O
1999;CMCSA.O
2000;CMCSA.O
2001;CMCSA.O
2002;CMCSA.O
2003;CMCSA.O
2004;CMCSA.O
2005;CMCSA.O
2006;CMCSA.O
2007;CMCSA.O
2008;CMCSA.O
2009;CMCSA.O
2010;CMCSA.O
2011;CMCSA.O
2012;CMCSA.O
2013;CMCSA.O
2014;CMCSA.O
2015;CMCSA.O
2016;CMCSA.O
2014;HLT
2015;HLT
2016;HLT
1998;VZ
1999;VZ
2000;VZ
2001;VZ
2002;VZ
2003;VZ
2004;VZ
2005;VZ
2006;VZ
2007;VZ
2008;VZ
2009;VZ
2010;VZ
2011;VZ
2012;VZ
2013;VZ
2014;VZ
2015;VZ
2016;VZ
2014;DVMT.K
2015;DVMT.K
2016;DVMT.K
1998;BA
1999;BA
2000;BA
2001;BA
2002;BA
2003;BA
2004;BA
2005;BA
2006;BA
2007;BA
2008;BA
2009;BA
2010;BA
2011;BA
2012;BA
2013;BA
2014;BA
2015;BA
2016;BA
1999;ABM
2000;ABM
2001;ABM
2002;ABM
2003;ABM
2004;ABM
2005;ABM
2006;ABM
2007;ABM
2008;ABM
2011;ABM
2012;ABM
2013;ABM
2014;ABM
2015;ABM
2016;ABM
1999;ORCL.K
2000;ORCL.K
2001;ORCL.K
2002;ORCL.K
2003;ORCL.K
2004;ORCL.K
2008;ORCL.K
2010;ORCL.K
2012;ORCL.K
2013;ORCL.K
2014;ORCL.K
2015;ORCL.K
1998;GPS
2000;GPS
2001;GPS
2002;GPS
2003;GPS
2004;GPS
2005;GPS
2006;GPS
2008;GPS
2010;GPS
1998;JNJ
1999;JNJ
2000;JNJ
2001;JNJ
2003;JNJ
2004;JNJ
2005;JNJ
2007;JNJ
2011;JNJ
2013;JNJ
2014;JNJ
2015;JNJ
2003;COST.O
2004;COST.O
2005;COST.O
2006;COST.O
2007;COST.O
2008;COST.O
2014;COST.O
1998;MSFT.O
1999;MSFT.O
2000;MSFT.O
2001;MSFT.O
2002;MSFT.O
2003;MSFT.O
2004;MSFT.O
2006;MSFT.O
2007;MSFT.O
2012;MSFT.O
2013;MSFT.O
2014;MSFT.O
2015;MSFT.O
2016;MSFT.O
1998;HON
1999;HON
2000;HON
2001;HON
2002;HON
2003;HON
2004;HON
2005;HON
2006;HON
2007;HON
2008;HON
2009;HON
2010;HON
2011;HON
2012;HON
2013;HON
2014;HON
2015;HON
2016;HON
1998;M
1999;M
2000;M
2001;M
2002;M
2003;M
2004;M
2006;M
2007;M
2008;M
2009;M
2010;M
2011;M
2012;M
2013;M
2014;M
1998;DG
1999;DG
2002;DG
2003;DG
2004;DG
2005;DG
2009;DG
2011;DG
2014;DG
2015;DG
1998;AAL.O
1999;AAL.O
2000;AAL.O
2001;AAL.O
2002;AAL.O
2003;AAL.O
2004;AAL.O
2005;AAL.O
2006;AAL.O
2007;AAL.O
2008;AAL.O
2009;AAL.O
2010;AAL.O
2011;AAL.O
2012;AAL.O
2013;AAL.O
2014;AAL.O
2015;AAL.O
2016;AAL.O
1998;BBY
1999;BBY
2000;BBY
2001;BBY
2002;BBY
2003;BBY
2004;BBY
2005;BBY
2008;BBY
2009;BBY
2010;BBY
2011;BBY
2012;BBY
2013;BBY
2014;BBY
2015;BBY
2016;BBY
1998;BBSI.O
1999;BBSI.O
2000;BBSI.O
2001;BBSI.O
2003;BBSI.O
2004;BBSI.O
2006;BBSI.O
2007;BBSI.O
2008;BBSI.O
2009;BBSI.O
2011;BBSI.O
2013;BBSI.O
2014;BBSI.O
2016;BBSI.O
1998;AAPL.O
1999;AAPL.O
2003;AAPL.O
2004;AAPL.O
2005;AAPL.O
2006;AAPL.O
2007;AAPL.O
2009;AAPL.O
2014;AAPL.O
2015;AAPL.O
2016;AAPL.O
1998;TSN
1999;TSN
2000;TSN
2004;TSN
2005;TSN
2006;TSN
2007;TSN
2008;TSN
2010;TSN
2011;TSN
1999;CVG
2000;CVG
2001;CVG
2002;CVG
2003;CVG
2004;CVG
2008;CVG
2009;CVG
2010;CVG
2011;CVG
2012;CVG
2013;CVG
2014;CVG
2015;CVG
2016;CVG
2002;SNX
2003;SNX
2004;SNX
2005;SNX
2006;SNX
2007;SNX
2008;SNX
2009;SNX
2012;SNX
2013;SNX
2015;SNX
2016;SNX
1998;INTC.O
1999;INTC.O
2000;INTC.O
2001;INTC.O
2002;INTC.O
2003;INTC.O
2004;INTC.O
2005;INTC.O
2006;INTC.O
2007;INTC.O
2008;INTC.O
2009;INTC.O
2010;INTC.O
2011;INTC.O
2012;INTC.O
2013;INTC.O
2014;INTC.O
2015;INTC.O
2016;INTC.O
1998;SLB
1999;SLB
2000;SLB
2001;SLB
2002;SLB
2003;SLB
2004;SLB
2005;SLB
2006;SLB
2007;SLB
2008;SLB
2009;SLB
2010;SLB
2011;SLB
2012;SLB
2013;SLB
1998;LMT
1999;LMT
2000;LMT
2001;LMT
2002;LMT
2003;LMT
2004;LMT
2005;LMT
2006;LMT
2007;LMT
2008;LMT
2009;LMT
2010;LMT
2011;LMT
2012;LMT
2013;LMT
2014;LMT
2015;LMT
2016;LMT
1998;ABT
1999;ABT
2000;ABT
2001;ABT
2002;ABT
2003;ABT
2004;ABT
2005;ABT
2006;ABT
2007;ABT
2008;ABT
2009;ABT
2010;ABT
2011;ABT
2012;ABT
2013;ABT
2014;ABT
2015;ABT
2016;ABT
1998;GD
1999;GD
2000;GD
2001;GD
2002;GD
2003;GD
2004;GD
2005;GD
2006;GD
2007;GD
2008;GD
2009;GD
2010;GD
2011;GD
2012;GD
2013;GD
2014;GD
2015;GD
2016;GD
1998;CAT
1999;CAT
2000;CAT
2001;CAT
2002;CAT
2003;CAT
2004;CAT
2005;CAT
2006;CAT
2007;CAT
2008;CAT
2009;CAT
2010;CAT
2011;CAT
2012;CAT
2013;CAT
2014;CAT
2015;CAT
2016;CAT
2001;THC
2002;THC
2003;THC
2004;THC
2005;THC
2006;THC
2007;THC
2008;THC
2009;THC
2010;THC
2011;THC
2012;THC
2013;THC
2014;THC
2015;DWDP.K
2016;DWDP.K
1998;JCP
1999;JCP
2000;JCP
2001;JCP
2002;JCP
2003;JCP
2004;JCP
2005;JCP
2007;JCP
2010;JCP
2011;JCP
2014;JCP
2016;JCP
1999;CCL
2000;CCL
2001;CCL
2002;CCL
2003;CCL
2004;CCL
2007;CCL
2008;CCL
2009;CCL
2012;CCL
2013;CCL
2014;CCL
2015;CCL
2016;CCL
1998;PG
1999;PG
2003;PG
2004;PG
2005;PG
2006;PG
2007;PG
2009;PG
2010;PG
2011;PG
2012;PG
2013;PG
2014;PG
2001;XPO
2002;XPO
2003;XPO
2006;XPO
2007;XPO
2010;XPO
2011;XPO
2012;XPO
2013;XPO
2014;XPO
1999;CYH
2000;CYH
2001;CYH
2002;CYH
2003;CYH
2004;CYH
2005;CYH
2006;CYH
2007;CYH
2008;CYH
2009;CYH
2010;CYH
2013;CYH
2014;CYH
2015;CYH
2013;BLMN.O
2014;BLMN.O
2015;BLMN.O
2016;BLMN.O
1998;WHR
1999;WHR
2000;WHR
2001;WHR
2002;WHR
2003;WHR
2004;WHR
2005;WHR
2006;WHR
2007;WHR
2008;WHR
2009;WHR
2010;WHR
2011;WHR
2012;WHR
2013;WHR
2014;WHR
2015;WHR
2016;WHR
1998;MMM
1999;MMM
2000;MMM
2001;MMM
2002;MMM
2003;MMM
2004;MMM
2005;MMM
2006;MMM
2007;MMM
2008;MMM
2009;MMM
2010;MMM
2011;MMM
2012;MMM
2013;MMM
2014;MMM
2015;MMM
2016;MMM
1998;PFE
1999;PFE
2000;PFE
2001;PFE
2002;PFE
2003;PFE
2004;PFE
2005;PFE
2006;PFE
2007;PFE
2008;PFE
2009;PFE
2010;PFE
2011;PFE
2012;PFE
2013;PFE
2014;PFE
2015;PFE
2016;PFE
2014;CNDT.K
2015;CNDT.K
1998;UAL
1999;UAL
2000;UAL
2001;UAL
2002;UAL
2003;UAL
2006;UAL
2007;UAL
2008;UAL
2009;UAL
2010;UAL
2013;UAL
2014;UAL
2016;UAL
1998;IEP.O
1999;IEP.O
2001;IEP.O
2002;IEP.O
2003;IEP.O
2004;IEP.O
2005;IEP.O
2006;IEP.O
2007;IEP.O
2008;IEP.O
2009;IEP.O
2010;IEP.O
2011;IEP.O
2012;IEP.O
2014;IEP.O
2015;IEP.O
2016;IEP.O
1999;SHLD.O
2000;SHLD.O
2001;SHLD.O
2002;SHLD.O
2004;SHLD.O
2005;SHLD.O
2006;SHLD.O
2009;SHLD.O
2010;SHLD.O
2014;SHLD.O
2005;ACM
2006;ACM
2007;ACM
2008;ACM
2009;ACM
2010;ACM
2011;ACM
2012;ACM
2013;ACM
2014;ACM
2015;ACM
1998;DAL
1999;DAL
2000;DAL
2001;DAL
2002;DAL
2003;DAL
2004;DAL
2005;DAL
2006;DAL
2007;DAL
2008;DAL
2009;DAL
2010;DAL
2011;DAL
2012;DAL
2013;DAL
2014;DAL
2016;DAL
1998;MDLZ.O
1999;MDLZ.O
2000;MDLZ.O
2001;MDLZ.O
2002;MDLZ.O
2003;MDLZ.O
2004;MDLZ.O
2005;MDLZ.O
2006;MDLZ.O
2007;MDLZ.O
2008;MDLZ.O
2009;MDLZ.O
2010;MDLZ.O
2011;MDLZ.O
2012;MDLZ.O
2013;MDLZ.O
2014;MDLZ.O
2015;MDLZ.O
2016;MDLZ.O
2000;ROST.O
2001;ROST.O
2002;ROST.O
2003;ROST.O
2004;ROST.O
2005;ROST.O
2014;ROST.O
1998;JLL
1999;JLL
2000;JLL
2001;JLL
2002;JLL
2003;JLL
2004;JLL
2005;JLL
2007;JLL
2008;JLL
2009;JLL
2012;JLL
2013;JLL
2015;JLL
2004;PM
2005;PM
2006;PM
2007;PM
2011;PM
2012;PM
2001;CBRE.K
2002;CBRE.K
2003;CBRE.K
2004;CBRE.K
2005;CBRE.K
2006;CBRE.K
2007;CBRE.K
2008;CBRE.K
2014;CBRE.K
1998;MCK
1999;MCK
2000;MCK
2001;MCK
2002;MCK
2003;MCK
2004;MCK
2005;MCK
2011;MCK
2012;MCK
2013;MCK
2015;MCK
1998;OMC
1999;OMC
2000;OMC
2001;OMC
2002;OMC
2003;OMC
2006;OMC
2007;OMC
2008;OMC
2011;OMC
2014;OMC
2015;OMC
2016;OMC
1998;UHS
1999;UHS
2000;UHS
2001;UHS
2002;UHS
2003;UHS
2004;UHS
2006;UHS
2007;UHS
2008;UHS
2009;UHS
2010;UHS
2011;UHS
2012;UHS
2013;UHS
2014;UHS
2015;UHS
2016;UHS
1999;EMR
2000;EMR
2001;EMR
2004;EMR
2005;EMR
2006;EMR
2007;EMR
2008;EMR
2013;EMR
2014;EMR
2015;EMR
1998;JWN
1999;JWN
2000;JWN
2001;JWN
2002;JWN
2003;JWN
2006;JWN
2007;JWN
2008;JWN
2010;JWN
2011;JWN
2012;JWN
2015;JWN
1998;DVA
1999;DVA
2000;DVA
2001;DVA
2002;DVA
2003;DVA
2004;DVA
2007;DVA
2008;DVA
2009;DVA
2010;DVA
2011;DVA
2012;DVA
2014;DVA
2016;DVA
1998;NKE
1999;NKE
2001;NKE
2002;NKE
2003;NKE
2004;NKE
2005;NKE
2010;NKE
2011;NKE
2012;NKE
2013;NKE
2014;NKE
2015;NKE
2016;NKE
1998;CBRL.O
2000;CBRL.O
2001;CBRL.O
2002;CBRL.O
2003;CBRL.O
2004;CBRL.O
2005;CBRL.O
2011;CBRL.O
2012;CBRL.O
1998;CSCO.O
2000;CSCO.O
2002;CSCO.O
2003;CSCO.O
2004;CSCO.O
2006;CSCO.O
2007;CSCO.O
2008;CSCO.O
2009;CSCO.O
2012;CSCO.O
2013;CSCO.O
2014;CSCO.O
1998;USB
1999;USB
2000;USB
2001;USB
2002;USB
2003;USB
2004;USB
2005;USB
2006;USB
2007;USB
2008;USB
1998;NOC
1999;NOC
2000;NOC
2001;NOC
2002;NOC
2003;NOC
2004;NOC
2005;NOC
2006;NOC
2007;NOC
2008;NOC
2009;NOC
2010;NOC
2011;NOC
2012;NOC
2013;NOC
2014;NOC
2015;NOC
2016;NOC
1998;TMO
1999;TMO
2000;TMO
2001;TMO
2002;TMO
2003;TMO
2004;TMO
2005;TMO
2006;TMO
2007;TMO
2008;TMO
2009;TMO
2010;TMO
2011;TMO
2012;TMO
2013;TMO
2014;TMO
2015;TMO
2016;TMO
2001;APH
2002;APH
2003;APH
2004;APH
2005;APH
2006;APH
2007;APH
2008;APH
2013;APH
2014;APH
1998;XOM
1999;XOM
2000;XOM
2001;XOM
2002;XOM
2003;XOM
2004;XOM
2005;XOM
2006;XOM
2007;XOM
2008;XOM
2009;XOM
2010;XOM
2011;XOM
2012;XOM
2013;XOM
2014;XOM
2015;XOM
2016;XOM
1998;MRK
1999;MRK
2000;MRK
2001;MRK
2002;MRK
2003;MRK
2004;MRK
2005;MRK
2006;MRK
2007;MRK
2008;MRK
2009;MRK
2010;MRK
2011;MRK
2012;MRK
2013;MRK
2014;MRK
2015;MRK
2016;MRK
2014;CMG
2006;GEN
2007;GEN
2008;GEN
2009;GEN
2010;GEN
2011;GEN
2012;GEN
2013;GEN
2014;GEN
2015;GEN
1998;WDC.O
1999;WDC.O
2000;WDC.O
2001;WDC.O
2002;WDC.O
2003;WDC.O
2004;WDC.O
2005;WDC.O
2006;WDC.O
2007;WDC.O
2014;WDC.O
2005;HBI
2008;HBI
2010;HBI
2011;HBI
2012;HBI
2014;HBI
2015;HBI
2016;HBI
1998;DHR
1999;DHR
2000;DHR
2001;DHR
2002;DHR
2003;DHR
2004;DHR
2005;DHR
2006;DHR
2007;DHR
2008;DHR
2009;DHR
2010;DHR
2011;DHR
2012;DHR
2013;DHR
2014;DHR
2015;DHR
2016;DHR
2000;SYY
2001;SYY
2003;SYY
2004;SYY
2005;SYY
2006;SYY
2007;SYY
2008;SYY
2009;SYY
2010;SYY
2011;SYY
2012;SYY
2013;SYY
2015;SYY
2016;SYY
2014;HPE
2015;HPE
2016;HPE
1998;RCL
1999;RCL
2000;RCL
2001;RCL
2002;RCL
2003;RCL
2004;RCL
2005;RCL
2006;RCL
2007;RCL
2008;RCL
2009;RCL
2010;RCL
2011;RCL
2012;RCL
2013;RCL
2014;RCL
2015;RCL
2016;RCL
1998;CZR.O
1999;CZR.O
2000;CZR.O
2001;CZR.O
2002;CZR.O
2003;CZR.O
2004;CZR.O
2005;CZR.O
2007;CZR.O
2008;CZR.O
2010;CZR.O
2011;CZR.O
2012;CZR.O
2013;CZR.O
2014;CZR.O
2015;CZR.O
2016;CZR.O
1998;BBBY.O
1999;BBBY.O
2003;BBBY.O
2004;BBBY.O
2013;BBBY.O
2014;BBBY.O
2015;BBBY.O
2016;BBBY.O
1998;LAUR.O
1999;LAUR.O
2000;LAUR.O
2001;LAUR.O
2002;LAUR.O
2003;LAUR.O
2004;LAUR.O
2005;LAUR.O
2016;LAUR.O
1998;RTN
1999;RTN
2000;RTN
2001;RTN
2002;RTN
2003;RTN
2004;RTN
2005;RTN
2006;RTN
2007;RTN
2008;RTN
2009;RTN
2010;RTN
2011;RTN
2012;RTN
2013;RTN
2014;RTN
2015;RTN
2016;RTN
1998;MMC
1999;MMC
2000;MMC
2001;MMC
2002;MMC
2003;MMC
2004;MMC
2005;MMC
2006;MMC
2007;MMC
2008;MMC
2009;MMC
2010;MMC
2011;MMC
2012;MMC
2013;MMC
2014;MMC
2015;MMC
2016;MMC
1998;BHGE.K
1999;BHGE.K
2000;BHGE.K
2001;BHGE.K
2002;BHGE.K
2003;BHGE.K
2004;BHGE.K
2005;BHGE.K
2006;BHGE.K
2007;BHGE.K
2008;BHGE.K
2009;BHGE.K
2010;BHGE.K
2011;BHGE.K
2012;BHGE.K
2013;BHGE.K
2014;BHGE.K
2015;BHGE.K
2016;BHGE.K
1998;GT.O
1999;GT.O
2000;GT.O
2001;GT.O
2002;GT.O
2003;GT.O
2004;GT.O
2005;GT.O
2006;GT.O
2007;GT.O
2008;GT.O
2013;GT.O
2014;GT.O
2015;GT.O
1998;BCO
1999;BCO
2000;BCO
2001;BCO
2002;BCO
2003;BCO
2004;BCO
2005;BCO
2006;BCO
2007;BCO
2008;BCO
2010;BCO
2011;BCO
2012;BCO
2013;BCO
2015;BCO
2016;BCO
1998;KO
1999;KO
2000;KO
2001;KO
2002;KO
2003;KO
2004;KO
2005;KO
2007;KO
2008;KO
2010;KO
2011;KO
2015;KO
1998;RAD
1999;RAD
2001;RAD
2002;RAD
2003;RAD
2004;RAD
2005;RAD
2006;RAD
2014;RAD
2015;RAD
2016;RAD
2002;DE
2003;DE
2004;DE
2007;DE
2008;DE
2014;DE
2015;DE
1998;LH
2001;LH
2002;LH
2003;LH
2004;LH
2008;LH
2011;LH
2014;LH
2015;LH
1998;YUM
2001;YUM
2003;YUM
2004;YUM
2005;YUM
2006;YUM
2007;YUM
2008;YUM
2012;YUM
2013;YUM
2014;YUM
2015;YUM
2016;YUM
2000;CMI
2001;CMI
2003;CMI
2004;CMI
2005;CMI
2006;CMI
2007;CMI
2008;CMI
2012;CMI
2013;CMI
2014;CMI
2015;CMI
2016;CMI
1999;EAT
2000;EAT
2001;EAT
2002;EAT
2003;EAT
2004;EAT
2005;EAT
2006;EAT
2007;EAT
2008;EAT
2011;EAT
2012;EAT
2013;EAT
2014;EAT
2015;EAT
2016;EAT
1999;SWK
2000;SWK
2001;SWK
2002;SWK
2003;SWK
2004;SWK
2005;SWK
2006;SWK
2007;SWK
2008;SWK
2009;SWK
2010;SWK
2011;SWK
2012;SWK
2013;SWK
2014;SWK
2015;SWK
2016;SWK
1998;MS
1999;MS
2000;MS
2001;MS
2002;MS
2003;MS
2004;MS
2005;MS
2006;MS
2007;MS
2008;MS
2009;MS
2010;MS
2011;MS
2012;MS
2013;MS
2014;MS
2015;MS
2016;MS
1998;ADP.O
1999;ADP.O
2000;ADP.O
2002;ADP.O
2003;ADP.O
2004;ADP.O
2005;ADP.O
2006;ADP.O
2007;ADP.O
2008;ADP.O
2009;ADP.O
2010;ADP.O
2011;ADP.O
2012;ADP.O
2013;ADP.O
2014;ADP.O
2015;ADP.O
1998;FLR
1999;FLR
2000;FLR
2001;FLR
2002;FLR
2003;FLR
2004;FLR
2007;FLR
2008;FLR
2009;FLR
2011;FLR
2015;FLR
1998;PH
1999;PH
2000;PH
2002;PH
2003;PH
2004;PH
2005;PH
2006;PH
2007;PH
2008;PH
2014;PH
2015;PH
1998;DLTR.O
1999;DLTR.O
2001;DLTR.O
2002;DLTR.O
2003;DLTR.O
2004;DLTR.O
2005;DLTR.O
2006;DLTR.O
2012;DLTR.O
2013;DLTR.O
2014;DLTR.O
2015;DLTR.O
1998;LUV
1999;LUV
2000;LUV
2001;LUV
2002;LUV
2003;LUV
2004;LUV
2005;LUV
2006;LUV
2007;LUV
2008;LUV
2009;LUV
2010;LUV
2011;LUV
2012;LUV
2013;LUV
2014;LUV
2015;LUV
2016;LUV
1998;ANTM.K
1999;ANTM.K
2000;ANTM.K
2001;ANTM.K
2002;ANTM.K
2003;ANTM.K
2004;ANTM.K
2005;ANTM.K
2006;ANTM.K
2007;ANTM.K
2008;ANTM.K
2009;ANTM.K
2010;ANTM.K
2011;ANTM.K
2012;ANTM.K
2013;ANTM.K
2014;ANTM.K
2015;ANTM.K
2016;ANTM.K
1998;IP
1999;IP
2000;IP
2001;IP
2002;IP
2003;IP
2004;IP
2005;IP
2006;IP
2007;IP
2008;IP
2009;IP
2010;IP
2011;IP
2012;IP
2013;IP
2014;IP
2015;IP
2016;IP
1998;TTEC.O
1999;TTEC.O
2000;TTEC.O
2001;TTEC.O
2002;TTEC.O
2003;TTEC.O
2004;TTEC.O
2005;TTEC.O
2006;TTEC.O
2009;TTEC.O
2011;TTEC.O
2012;TTEC.O
2015;TTEC.O
2016;TTEC.O
1998;AXP
1999;AXP
2000;AXP
2001;AXP
2002;AXP
2003;AXP
2004;AXP
2005;AXP
2006;AXP
2007;AXP
2008;AXP
2009;AXP
2010;AXP
2011;AXP
2012;AXP
2013;AXP
2014;AXP
2015;AXP
2016;AXP
1998;HAL
1999;HAL
2000;HAL
2002;HAL
2003;HAL
2004;HAL
2005;HAL
2006;HAL
2007;HAL
2008;HAL
2009;HAL
2010;HAL
2011;HAL
2013;HAL
2014;HAL
2015;HAL
1998;SYKE.O
1999;SYKE.O
2000;SYKE.O
2001;SYKE.O
2002;SYKE.O
2003;SYKE.O
2007;SYKE.O
2008;SYKE.O
2009;SYKE.O
2010;SYKE.O
2011;SYKE.O
2012;SYKE.O
1998;AZO
2001;AZO
2002;AZO
2003;AZO
2014;AZO
2015;AZO
2000;FIS
2001;FIS
2002;FIS
2003;FIS
2004;FIS
2005;FIS
2006;FIS
2007;FIS
2008;FIS
2009;FIS
2010;FIS
