ric,year,all,relevant,relevant5%
F,2001,1,1,0
F,2002,1,1,0
F,2003,1,1,1
F,2004,1,1,1
F,2005,1,1,1
F,2006,1,1,0
F,2007,1,1,1
F,2008,1,1,1
F,2009,1,0,0
F,2010,1,1,0
F,2011,1,1,0
F,2012,1,1,0
F,2013,1,1,1
F,2014,1,1,1
F,2015,1,0,0
F,2016,1,1,0
LOW,1998,1,1,1
LOW,1999,1,1,0
LOW,2000,1,0,0
LOW,2001,1,1,0
LOW,2002,1,1,0
LOW,2003,1,1,0
LOW,2004,1,1,0
LOW,2005,0,0,0
LOW,2006,0,0,0
LOW,2007,0,0,0
LOW,2008,1,0,0
LOW,2009,0,0,0
LOW,2010,0,0,0
LOW,2011,0,0,0
LOW,2012,0,0,0
LOW,2013,0,0,0
LOW,2014,1,0,0
LOW,2015,0,0,0
LOW,2016,0,0,0
DIS,1998,1,1,1
DIS,1999,1,1,1
DIS,2000,1,1,0
DIS,2001,0,0,0
DIS,2002,1,0,0
DIS,2003,0,0,0
DIS,2004,1,1,0
DIS,2005,1,1,0
DIS,2006,1,0,0
DIS,2007,1,1,0
DIS,2008,1,1,1
DIS,2009,1,0,0
DIS,2010,0,0,0
DIS,2011,1,0,0
DIS,2012,1,0,0
DIS,2013,0,0,0
DIS,2014,1,1,0
DIS,2015,1,1,0
DIS,2016,0,0,0
DRI,1998,1,1,0
DRI,1999,1,1,0
DRI,2000,1,1,0
DRI,2001,1,1,0
DRI,2002,1,1,0
DRI,2003,1,1,1
DRI,2004,1,1,1
DRI,2005,1,1,1
DRI,2006,0,0,0
DRI,2007,0,0,0
DRI,2008,0,0,0
DRI,2009,1,0,0
DRI,2010,0,0,0
DRI,2011,1,1,1
DRI,2012,1,1,1
DRI,2013,1,0,0
DRI,2014,0,0,0
DRI,2015,0,0,0
DRI,2016,1,0,0
GM,1998,0,0,0
GM,1999,0,0,0
GM,2000,0,0,0
GM,2001,0,0,0
GM,2002,0,0,0
GM,2003,0,0,0
GM,2004,0,0,0
GM,2005,0,0,0
GM,2006,0,0,0
GM,2007,0,0,0
GM,2008,0,0,0
GM,2009,1,1,0
GM,2010,1,1,1
GM,2011,1,0,0
GM,2012,1,0,0
GM,2013,0,0,0
GM,2014,1,1,0
GM,2015,1,1,1
GM,2016,1,1,1
MAR.O,1998,0,0,0
MAR.O,1999,0,0,0
MAR.O,2000,1,1,1
MAR.O,2001,1,1,1
MAR.O,2002,1,1,0
MAR.O,2003,1,1,0
MAR.O,2004,0,0,0
MAR.O,2005,1,1,0
MAR.O,2006,1,1,0
MAR.O,2007,1,0,0
MAR.O,2008,1,0,0
MAR.O,2009,1,0,0
MAR.O,2010,1,0,0
MAR.O,2011,0,0,0
MAR.O,2012,1,0,0
MAR.O,2013,1,0,0
MAR.O,2014,1,0,0
MAR.O,2015,1,1,1
MAR.O,2016,1,1,1
JBL,1998,1,1,1
JBL,1999,1,0,0
JBL,2000,1,1,0
JBL,2001,1,1,1
JBL,2002,1,1,1
JBL,2003,1,1,0
JBL,2004,1,1,1
JBL,2005,0,0,0
JBL,2006,0,0,0
JBL,2007,1,1,0
JBL,2008,0,0,0
JBL,2009,0,0,0
JBL,2010,1,0,0
JBL,2011,1,1,1
JBL,2012,1,1,1
JBL,2013,0,0,0
JBL,2014,1,0,0
JBL,2015,0,0,0
JBL,2016,0,0,0
ARMK.K,1998,0,0,0
ARMK.K,1999,0,0,0
ARMK.K,2000,0,0,0
ARMK.K,2001,0,0,0
ARMK.K,2002,0,0,0
ARMK.K,2003,0,0,0
ARMK.K,2004,0,0,0
ARMK.K,2005,0,0,0
ARMK.K,2006,0,0,0
ARMK.K,2007,0,0,0
ARMK.K,2008,0,0,0
ARMK.K,2009,0,0,0
ARMK.K,2010,0,0,0
ARMK.K,2011,0,0,0
ARMK.K,2012,0,0,0
ARMK.K,2013,0,0,0
ARMK.K,2014,1,1,1
ARMK.K,2015,1,1,1
ARMK.K,2016,0,0,0
FDX,1998,0,0,0
FDX,1999,0,0,0
FDX,2000,1,1,0
FDX,2001,1,0,0
FDX,2002,1,0,0
FDX,2003,1,0,0
FDX,2004,0,0,0
FDX,2005,0,0,0
FDX,2006,1,1,0
FDX,2007,1,1,0
FDX,2008,0,0,0
FDX,2009,0,0,0
FDX,2010,0,0,0
FDX,2011,0,0,0
FDX,2012,1,1,1
FDX,2013,1,1,1
FDX,2014,1,0,0
FDX,2015,1,0,0
FDX,2016,0,0,0
LEA,1998,1,1,1
LEA,1999,1,1,1
LEA,2000,1,1,0
LEA,2001,1,1,1
LEA,2002,1,1,1
LEA,2003,1,1,1
LEA,2004,1,1,1
LEA,2005,1,1,1
LEA,2006,1,1,1
LEA,2007,1,1,1
LEA,2008,1,1,1
LEA,2009,1,1,1
LEA,2010,1,1,0
LEA,2011,1,1,1
LEA,2012,1,1,1
LEA,2013,1,1,0
LEA,2014,1,1,0
LEA,2015,1,1,0
LEA,2016,1,1,1
CMCSA.O,1998,1,1,1
CMCSA.O,1999,1,1,0
CMCSA.O,2000,1,1,1
CMCSA.O,2001,1,1,1
CMCSA.O,2002,1,1,1
CMCSA.O,2003,1,1,1
CMCSA.O,2004,1,1,1
CMCSA.O,2005,1,1,0
CMCSA.O,2006,1,1,0
CMCSA.O,2007,1,1,1
CMCSA.O,2008,1,0,0
CMCSA.O,2009,1,0,0
CMCSA.O,2010,1,0,0
CMCSA.O,2011,1,0,0
CMCSA.O,2012,1,0,0
CMCSA.O,2013,1,0,0
CMCSA.O,2014,1,0,0
CMCSA.O,2015,1,1,0
CMCSA.O,2016,1,1,0
HLT,1998,0,0,0
HLT,1999,0,0,0
HLT,2000,0,0,0
HLT,2001,0,0,0
HLT,2002,0,0,0
HLT,2003,0,0,0
HLT,2004,0,0,0
HLT,2005,0,0,0
HLT,2006,0,0,0
HLT,2007,0,0,0
HLT,2008,0,0,0
HLT,2009,0,0,0
HLT,2010,0,0,0
HLT,2011,0,0,0
HLT,2012,0,0,0
HLT,2013,0,0,0
HLT,2014,1,1,0
HLT,2015,1,1,1
HLT,2016,1,1,1
VZ,1998,1,1,1
VZ,1999,1,1,1
VZ,2000,1,1,1
VZ,2001,1,1,0
VZ,2002,1,1,0
VZ,2003,1,1,1
VZ,2004,1,1,1
VZ,2005,1,1,1
VZ,2006,1,1,0
VZ,2007,1,1,1
VZ,2008,1,1,1
VZ,2009,1,1,1
VZ,2010,1,1,1
VZ,2011,1,1,1
VZ,2012,1,1,1
VZ,2013,1,1,1
VZ,2014,1,1,1
VZ,2015,1,1,1
VZ,2016,1,1,1
DVMT.K,1998,0,0,0
DVMT.K,1999,0,0,0
DVMT.K,2000,0,0,0
DVMT.K,2001,0,0,0
DVMT.K,2002,0,0,0
DVMT.K,2003,0,0,0
DVMT.K,2004,0,0,0
DVMT.K,2005,0,0,0
DVMT.K,2006,0,0,0
DVMT.K,2007,0,0,0
DVMT.K,2008,0,0,0
DVMT.K,2009,0,0,0
DVMT.K,2010,0,0,0
DVMT.K,2011,0,0,0
DVMT.K,2012,0,0,0
DVMT.K,2013,0,0,0
DVMT.K,2014,1,1,1
DVMT.K,2015,1,1,1
DVMT.K,2016,1,1,0
BA,1998,1,1,1
BA,1999,1,1,1
BA,2000,1,1,1
BA,2001,1,1,1
BA,2002,1,1,1
BA,2003,1,1,1
BA,2004,1,1,0
BA,2005,1,1,1
BA,2006,1,1,1
BA,2007,1,1,1
BA,2008,1,1,1
BA,2009,1,1,1
BA,2010,1,1,1
BA,2011,1,1,1
BA,2012,1,1,1
BA,2013,1,1,1
BA,2014,1,1,1
BA,2015,1,1,1
BA,2016,1,1,1
ABM,1998,0,0,0
ABM,1999,1,1,1
ABM,2000,1,1,0
ABM,2001,1,1,1
ABM,2002,1,1,1
ABM,2003,1,1,0
ABM,2004,1,0,0
ABM,2005,1,1,0
ABM,2006,1,1,0
ABM,2007,1,0,0
ABM,2008,1,0,0
ABM,2009,0,0,0
ABM,2010,0,0,0
ABM,2011,1,0,0
ABM,2012,1,1,1
ABM,2013,1,1,1
ABM,2014,1,0,0
ABM,2015,1,0,0
ABM,2016,1,0,0
ORCL.K,1998,0,0,0
ORCL.K,1999,1,1,0
ORCL.K,2000,1,1,0
ORCL.K,2001,1,1,0
ORCL.K,2002,1,1,0
ORCL.K,2003,1,1,0
ORCL.K,2004,1,0,0
ORCL.K,2005,0,0,0
ORCL.K,2006,0,0,0
ORCL.K,2007,0,0,0
ORCL.K,2008,1,0,0
ORCL.K,2009,0,0,0
ORCL.K,2010,1,0,0
ORCL.K,2011,0,0,0
ORCL.K,2012,1,0,0
ORCL.K,2013,1,0,0
ORCL.K,2014,1,1,0
ORCL.K,2015,1,1,0
ORCL.K,2016,0,0,0
GPS,1998,1,0,0
GPS,1999,0,0,0
GPS,2000,1,1,0
GPS,2001,1,1,0
GPS,2002,1,1,0
GPS,2003,1,1,0
GPS,2004,1,1,0
GPS,2005,1,1,0
GPS,2006,1,1,0
GPS,2007,0,0,0
GPS,2008,1,0,0
GPS,2009,0,0,0
GPS,2010,1,0,0
GPS,2011,0,0,0
GPS,2012,0,0,0
GPS,2013,0,0,0
GPS,2014,0,0,0
GPS,2015,0,0,0
GPS,2016,0,0,0
JNJ,1998,1,1,0
JNJ,1999,1,1,1
JNJ,2000,1,1,1
JNJ,2001,1,1,0
JNJ,2002,0,0,0
JNJ,2003,1,0,0
JNJ,2004,1,1,0
JNJ,2005,1,1,0
JNJ,2006,0,0,0
JNJ,2007,1,1,0
JNJ,2008,0,0,0
JNJ,2009,0,0,0
JNJ,2010,0,0,0
JNJ,2011,1,0,0
JNJ,2012,0,0,0
JNJ,2013,1,0,0
JNJ,2014,1,1,0
JNJ,2015,1,1,0
JNJ,2016,0,0,0
COST.O,1998,0,0,0
COST.O,1999,0,0,0
COST.O,2000,0,0,0
COST.O,2001,0,0,0
COST.O,2002,0,0,0
COST.O,2003,1,1,0
COST.O,2004,1,1,0
COST.O,2005,1,1,0
COST.O,2006,1,1,0
COST.O,2007,1,1,0
COST.O,2008,1,1,0
COST.O,2009,0,0,0
COST.O,2010,0,0,0
COST.O,2011,0,0,0
COST.O,2012,0,0,0
COST.O,2013,0,0,0
COST.O,2014,1,0,0
COST.O,2015,0,0,0
COST.O,2016,0,0,0
MSFT.O,1998,1,1,1
MSFT.O,1999,1,1,1
MSFT.O,2000,1,0,0
MSFT.O,2001,1,1,1
MSFT.O,2002,1,1,1
MSFT.O,2003,1,0,0
MSFT.O,2004,1,0,0
MSFT.O,2005,0,0,0
MSFT.O,2006,1,0,0
MSFT.O,2007,1,0,0
MSFT.O,2008,0,0,0
MSFT.O,2009,0,0,0
MSFT.O,2010,0,0,0
MSFT.O,2011,0,0,0
MSFT.O,2012,1,0,0
MSFT.O,2013,1,0,0
MSFT.O,2014,1,0,0
MSFT.O,2015,1,1,1
MSFT.O,2016,1,1,1
HON,1998,1,1,1
HON,1999,1,1,1
HON,2000,1,1,1
HON,2001,1,1,1
HON,2002,1,1,1
HON,2003,1,1,1
HON,2004,1,1,1
HON,2005,1,1,1
HON,2006,1,1,1
HON,2007,1,1,1
HON,2008,1,1,1
HON,2009,1,1,1
HON,2010,1,1,1
HON,2011,1,1,1
HON,2012,1,1,1
HON,2013,1,1,0
HON,2014,1,1,0
HON,2015,1,1,1
HON,2016,1,1,1
M,1998,1,1,0
M,1999,1,1,1
M,2000,1,1,1
M,2001,1,0,0
M,2002,1,1,0
M,2003,1,1,1
M,2004,1,1,0
M,2005,0,0,0
M,2006,1,0,0
M,2007,1,1,0
M,2008,1,1,0
M,2009,1,1,1
M,2010,1,0,0
M,2011,1,1,0
M,2012,1,1,0
M,2013,1,0,0
M,2014,1,0,0
M,2015,0,0,0
M,2016,0,0,0
DG,1998,1,1,1
DG,1999,1,1,1
DG,2000,0,0,0
DG,2001,0,0,0
DG,2002,1,1,0
DG,2003,1,1,0
DG,2004,1,1,0
DG,2005,1,0,0
DG,2006,0,0,0
DG,2007,0,0,0
DG,2008,0,0,0
DG,2009,1,1,0
DG,2010,0,0,0
DG,2011,1,1,0
DG,2012,0,0,0
DG,2013,0,0,0
DG,2014,1,1,0
DG,2015,1,1,0
DG,2016,0,0,0
AAL.O,1998,1,1,1
AAL.O,1999,1,1,0
AAL.O,2000,1,1,1
AAL.O,2001,1,1,1
AAL.O,2002,1,1,1
AAL.O,2003,1,1,1
AAL.O,2004,1,1,1
AAL.O,2005,1,1,1
AAL.O,2006,1,1,1
AAL.O,2007,1,1,1
AAL.O,2008,1,1,1
AAL.O,2009,1,1,1
AAL.O,2010,1,1,1
AAL.O,2011,1,1,1
AAL.O,2012,1,1,1
AAL.O,2013,1,1,1
AAL.O,2014,1,1,1
AAL.O,2015,1,1,1
AAL.O,2016,1,1,1
BBY,1998,1,1,0
BBY,1999,1,1,0
BBY,2000,1,1,0
BBY,2001,1,1,1
BBY,2002,1,1,0
BBY,2003,1,1,0
BBY,2004,1,1,1
BBY,2005,1,1,0
BBY,2006,0,0,0
BBY,2007,0,0,0
BBY,2008,1,0,0
BBY,2009,1,1,0
BBY,2010,1,1,0
BBY,2011,1,1,1
BBY,2012,1,1,1
BBY,2013,1,1,0
BBY,2014,1,0,0
BBY,2015,1,1,0
BBY,2016,1,1,0
BBSI.O,1998,1,1,1
BBSI.O,1999,1,1,1
BBSI.O,2000,1,1,1
BBSI.O,2001,1,1,1
BBSI.O,2002,0,0,0
BBSI.O,2003,1,0,0
BBSI.O,2004,1,0,0
BBSI.O,2005,0,0,0
BBSI.O,2006,1,1,0
BBSI.O,2007,1,1,0
BBSI.O,2008,1,1,0
BBSI.O,2009,1,1,1
BBSI.O,2010,0,0,0
BBSI.O,2011,1,1,0
BBSI.O,2012,0,0,0
BBSI.O,2013,1,1,1
BBSI.O,2014,1,1,1
BBSI.O,2015,0,0,0
BBSI.O,2016,1,0,0
AAPL.O,1998,1,1,0
AAPL.O,1999,1,1,1
AAPL.O,2000,0,0,0
AAPL.O,2001,0,0,0
AAPL.O,2002,0,0,0
AAPL.O,2003,1,1,0
AAPL.O,2004,1,1,0
AAPL.O,2005,1,0,0
AAPL.O,2006,1,1,0
AAPL.O,2007,1,1,1
AAPL.O,2008,0,0,0
AAPL.O,2009,1,0,0
AAPL.O,2010,0,0,0
AAPL.O,2011,0,0,0
AAPL.O,2012,0,0,0
AAPL.O,2013,0,0,0
AAPL.O,2014,1,0,0
AAPL.O,2015,1,1,0
AAPL.O,2016,1,1,0
TSN,1998,1,1,0
TSN,1999,1,1,0
TSN,2000,1,1,0
TSN,2001,0,0,0
TSN,2002,0,0,0
TSN,2003,0,0,0
TSN,2004,1,1,0
TSN,2005,1,1,1
TSN,2006,1,1,0
TSN,2007,1,1,1
TSN,2008,1,1,1
TSN,2009,0,0,0
TSN,2010,1,1,0
TSN,2011,1,1,0
TSN,2012,0,0,0
TSN,2013,0,0,0
TSN,2014,0,0,0
TSN,2015,0,0,0
TSN,2016,0,0,0
CVG,1998,0,0,0
