year;ric
2011;DRI
2012;DRI
2010;GM
2011;GM
2012;GM
2015;GM
2016;GM
2000;MAR.O
2001;MAR.O
2005;MAR.O
2015;MAR.O
2016;MAR.O
1998;JBL
2001;JBL
2002;JBL
2004;JBL
2011;JBL
2012;JBL
2014;ARMK.K
2015;ARMK.K
2012;FDX
2013;FDX
1998;LEA
1999;LEA
2001;LEA
2002;LEA
2003;LEA
2004;LEA
2005;LEA
2006;LEA
2007;LEA
2008;LEA
2009;LEA
2011;LEA
2012;LEA
2016;LEA
1998;CMCSA.O
1999;CMCSA.O
2001;CMCSA.O
2002;CMCSA.O
2004;CMCSA.O
2005;CMCSA.O
2007;CMCSA.O
2015;HLT
2016;HLT
1998;VZ
1999;VZ
2000;VZ
2003;VZ
2004;VZ
2005;VZ
2007;VZ
2008;VZ
2009;VZ
2010;VZ
2011;VZ
2012;VZ
2013;VZ
2014;VZ
2015;VZ
2016;VZ
2014;DVMT.K
2015;DVMT.K
1998;BA
2001;BA
2002;BA
2003;BA
2005;BA
2006;BA
2007;BA
2008;BA
2009;BA
2010;BA
2011;BA
2012;BA
2013;BA
2014;BA
2015;BA
2016;BA
2000;ABM
2001;ABM
2002;ABM
2006;ABM
2013;ABM
2014;ABM
1999;JNJ
2000;JNJ
1998;MSFT.O
1999;MSFT.O
2001;MSFT.O
2002;MSFT.O
2015;MSFT.O
2016;MSFT.O
1998;HON
1999;HON
2000;HON
2002;HON
2005;HON
2006;HON
2007;HON
2008;HON
2009;HON
2011;HON
2012;HON
2015;HON
2016;HON
1999;M
2000;M
2003;M
2009;M
1998;DG
1999;DG
1998;AAL.O
2000;AAL.O
2001;AAL.O
2002;AAL.O
2003;AAL.O
2004;AAL.O
2005;AAL.O
2006;AAL.O
2007;AAL.O
2008;AAL.O
2009;AAL.O
2010;AAL.O
2011;AAL.O
2012;AAL.O
2013;AAL.O
2014;AAL.O
2015;AAL.O
2016;AAL.O
2001;BBY
2004;BBY
2009;BBY
2010;BBY
2011;BBY
2012;BBY
1998;BBSI.O
1999;BBSI.O
2000;BBSI.O
2001;BBSI.O
2009;BBSI.O
2013;BBSI.O
2014;BBSI.O
1999;AAPL.O
2007;AAPL.O
2005;TSN
2007;TSN
2008;TSN
2011;TSN
2000;CVG
2008;CVG
2009;CVG
2010;CVG
2011;CVG
2013;CVG
2005;SNX
2008;SNX
1998;INTC.O
1999;INTC.O
2002;INTC.O
2004;INTC.O
2006;INTC.O
2007;INTC.O
2008;INTC.O
2009;INTC.O
2010;INTC.O
2011;INTC.O
2012;INTC.O
2014;INTC.O
2015;INTC.O
1998;SLB
1999;SLB
2001;SLB
2002;SLB
2003;SLB
2011;SLB
2012;SLB
2013;SLB
1999;LMT
2000;LMT
2001;LMT
2002;LMT
2004;LMT
2005;LMT
2006;LMT
2007;LMT
2008;LMT
2009;LMT
2010;LMT
2011;LMT
2012;LMT
2013;LMT
2014;LMT
2015;LMT
2016;LMT
1998;ABT
1999;ABT
2000;ABT
2001;ABT
2002;ABT
2003;ABT
2006;ABT
2008;ABT
2010;ABT
2011;ABT
2012;ABT
2013;ABT
2016;ABT
1998;GD
1999;GD
2000;GD
2001;GD
2002;GD
2003;GD
2004;GD
2005;GD
2006;GD
2007;GD
2008;GD
2009;GD
2011;GD
2012;GD
2013;GD
2014;GD
2016;GD
1998;CAT
2002;CAT
2003;CAT
2004;CAT
2005;CAT
2006;CAT
2007;CAT
2008;CAT
2009;CAT
2010;CAT
2011;CAT
2012;CAT
2013;CAT
2014;CAT
2015;CAT
2001;THC
2002;THC
2003;THC
2004;THC
2005;THC
2006;THC
2007;THC
2008;THC
2009;THC
2010;THC
2015;DWDP.K
2016;DWDP.K
1998;JCP
1999;JCP
2001;JCP
2002;JCP
2003;JCP
2004;JCP
2014;JCP
2003;PG
2004;PG
2005;PG
2006;PG
2007;PG
2013;PG
2014;PG
2001;XPO
2006;XPO
2007;XPO
2010;XPO
2000;CYH
2001;CYH
2003;CYH
2008;CYH
2013;CYH
1998;WHR
1999;WHR
2000;WHR
2001;WHR
2002;WHR
2003;WHR
2004;WHR
2005;WHR
2006;WHR
2007;WHR
2008;WHR
2009;WHR
2012;WHR
2016;WHR
1998;MMM
2000;MMM
2002;MMM
2003;MMM
2006;MMM
2007;MMM
2008;MMM
2009;MMM
2011;MMM
2013;MMM
2014;MMM
2015;MMM
2016;MMM
1998;PFE
1999;PFE
2000;PFE
2001;PFE
2002;PFE
2004;PFE
2005;PFE
2006;PFE
2007;PFE
2008;PFE
2010;PFE
2011;PFE
2012;PFE
2013;PFE
2014;PFE
2015;PFE
2016;PFE
1999;UAL
2002;UAL
2003;UAL
2007;UAL
1998;IEP.O
1999;IEP.O
2001;IEP.O
2002;IEP.O
2003;IEP.O
2004;IEP.O
2005;IEP.O
2006;IEP.O
2008;IEP.O
2009;IEP.O
2012;IEP.O
1999;SHLD.O
2000;SHLD.O
2001;SHLD.O
2002;SHLD.O
2009;SHLD.O
2010;SHLD.O
2007;ACM
2008;ACM
2002;DAL
2003;DAL
2004;DAL
2005;DAL
2016;DAL
2000;MDLZ.O
2001;MDLZ.O
2002;MDLZ.O
2006;MDLZ.O
2007;MDLZ.O
2008;MDLZ.O
2009;MDLZ.O
2010;MDLZ.O
2011;MDLZ.O
2013;MDLZ.O
2015;MDLZ.O
2002;ROST.O
1999;JLL
2004;JLL
2002;CBRE.K
2003;CBRE.K
2004;CBRE.K
2005;CBRE.K
2006;CBRE.K
2008;CBRE.K
1998;MCK
1999;MCK
2000;MCK
2002;MCK
2003;MCK
2004;MCK
1998;OMC
1999;OMC
2002;OMC
2003;OMC
2003;UHS
2004;UHS
2006;UHS
2007;UHS
2008;UHS
2010;UHS
2011;UHS
2013;EMR
2014;EMR
2002;JWN
2007;JWN
1998;DVA
2002;DVA
2003;DVA
2004;DVA
2007;DVA
2008;DVA
2016;DVA
1999;NKE
2015;NKE
2016;NKE
2004;CBRL.O
2005;CBRL.O
1998;USB
1999;USB
2000;USB
2001;USB
2007;USB
1998;NOC
1999;NOC
2000;NOC
2001;NOC
2002;NOC
2003;NOC
2006;NOC
2007;NOC
2008;NOC
2009;NOC
2010;NOC
2011;NOC
2012;NOC
2013;NOC
2014;NOC
2016;NOC
1998;TMO
1999;TMO
2000;TMO
2001;TMO
2002;TMO
2003;TMO
2005;TMO
2010;TMO
2012;TMO
2013;TMO
2016;TMO
2002;APH
2003;APH
1998;XOM
1999;XOM
2002;XOM
2003;XOM
2004;XOM
2006;XOM
2007;XOM
2009;XOM
2010;XOM
2011;XOM
2015;XOM
2016;XOM
1999;MRK
2000;MRK
2001;MRK
2002;MRK
2003;MRK
2008;MRK
2009;MRK
2012;MRK
2014;MRK
2015;MRK
2016;MRK
2006;GEN
2007;GEN
2008;GEN
2010;GEN
2013;GEN
2014;GEN
1999;WDC.O
2000;WDC.O
2002;WDC.O
2004;WDC.O
2005;WDC.O
2010;HBI
2011;HBI
1998;DHR
1999;DHR
2000;DHR
2001;DHR
2002;DHR
2003;DHR
2004;DHR
2005;DHR
2006;DHR
2007;DHR
2008;DHR
2009;DHR
2010;DHR
2011;DHR
2012;DHR
2014;DHR
2015;DHR
2016;DHR
2014;HPE
2015;HPE
1998;RCL
1999;RCL
2001;RCL
2002;RCL
2003;RCL
2004;RCL
2005;RCL
2006;RCL
2008;RCL
2009;RCL
2010;RCL
2012;RCL
2013;RCL
2015;RCL
2016;RCL
2001;CZR.O
2002;CZR.O
2003;CZR.O
2004;CZR.O
2005;CZR.O
2011;CZR.O
2012;CZR.O
2013;CZR.O
2014;CZR.O
2015;CZR.O
2016;CZR.O
1998;BBBY.O
1998;LAUR.O
1999;LAUR.O
2001;LAUR.O
2002;LAUR.O
2003;LAUR.O
1998;RTN
1999;RTN
2000;RTN
2001;RTN
2002;RTN
2003;RTN
2004;RTN
2005;RTN
2006;RTN
2007;RTN
2008;RTN
2010;RTN
2012;RTN
2013;RTN
2014;RTN
1998;MMC
1999;MMC
2001;MMC
2002;MMC
2003;MMC
2004;MMC
2005;MMC
2006;MMC
2007;MMC
2008;MMC
2009;MMC
2010;MMC
2011;MMC
2012;MMC
2013;MMC
2014;MMC
2016;MMC
1999;BHGE.K
2000;BHGE.K
2001;BHGE.K
2003;BHGE.K
2004;BHGE.K
2005;BHGE.K
2006;BHGE.K
2007;BHGE.K
2008;BHGE.K
2009;BHGE.K
2010;BHGE.K
2011;BHGE.K
2013;BHGE.K
2014;BHGE.K
2015;BHGE.K
2016;BHGE.K
1998;GT.O
2000;GT.O
2001;GT.O
2002;GT.O
2003;GT.O
2004;GT.O
2005;GT.O
2006;GT.O
2007;GT.O
1998;BCO
1999;BCO
2001;BCO
2003;BCO
2004;BCO
2005;BCO
2006;BCO
2007;BCO
2010;BCO
2011;BCO
2012;BCO
2013;BCO
2015;BCO
2000;KO
2001;KO
1998;RAD
1999;RAD
2002;RAD
2006;RAD
2015;RAD
2016;RAD
2002;DE
2003;DE
2014;YUM
2015;YUM
2000;CMI
2001;CMI
2005;EAT
2006;EAT
2007;EAT
2008;EAT
2015;EAT
2001;SWK
2002;SWK
2003;SWK
2010;SWK
2011;SWK
2003;MS
2004;MS
2005;MS
2006;MS
2007;MS
2009;MS
2011;MS
2015;MS
2016;MS
2003;ADP.O
2004;ADP.O
2005;ADP.O
2012;ADP.O
2013;ADP.O
1999;FLR
2000;FLR
2001;FLR
2002;FLR
2004;FLR
1998;DLTR.O
1998;LUV
1999;LUV
2000;LUV
2001;LUV
2002;LUV
2003;LUV
2004;LUV
2005;LUV
2006;LUV
2007;LUV
2008;LUV
2009;LUV
2010;LUV
2013;LUV
2014;LUV
2015;LUV
2016;LUV
1999;ANTM.K
2000;ANTM.K
2001;ANTM.K
2002;ANTM.K
2003;ANTM.K
2004;ANTM.K
2006;ANTM.K
2007;ANTM.K
2008;ANTM.K
2015;ANTM.K
2016;ANTM.K
1998;IP
1999;IP
2000;IP
2001;IP
2002;IP
2003;IP
2004;IP
2005;IP
2006;IP
2007;IP
2008;IP
2009;IP
2012;IP
2013;IP
2014;IP
2015;IP
2016;IP
1998;TTEC.O
1999;TTEC.O
2001;TTEC.O
2002;TTEC.O
2005;TTEC.O
1999;AXP
2001;AXP
2003;AXP
2004;AXP
2007;AXP
2008;AXP
2010;AXP
2011;AXP
2012;AXP
1998;HAL
1999;HAL
2005;HAL
2006;HAL
2008;HAL
1998;SYKE.O
1999;SYKE.O
2009;SYKE.O
2010;SYKE.O
2000;FIS
2001;FIS
2002;FIS
2003;FIS
2004;FIS
2005;FIS
2006;FIS
2007;FIS
1999;SHW
2001;SHW
2002;SHW
2003;SHW
2004;SHW
2005;SHW
2006;SHW
2007;SHW
2008;SHW
2009;SHW
2010;SHW
2011;SHW
2013;SHW
2014;SHW
2015;SHW
2016;SHW
1999;BK
2000;BK
2001;BK
2002;BK
2004;BK
2005;BK
2006;BK
2001;MGM
2002;MGM
2003;MGM
2004;MGM
2005;MGM
2013;MGM
1998;CVX
1999;CVX
2000;CVX
2001;CVX
2002;CVX
2003;CVX
2004;CVX
2005;CVX
2006;CVX
2007;CVX
2008;CVX
2009;CVX
2010;CVX
2011;CVX
2012;CVX
2006;PPC.O
2007;PPC.O
2009;PPC.O
2016;PPC.O
2000;CTL
2001;CTL
2002;TMUS.O
2003;TMUS.O
2011;TMUS.O
2012;TMUS.O
2002;LVS
2003;LVS
2004;LVS
2005;LVS
2006;LVS
2007;LVS
2008;LVS
2010;LVS
2011;LVS
2012;LVS
2013;LVS
2014;LVS
2015;LVS
2016;LVS
1998;PNC
2001;PNC
2002;PNC
2004;PNC
2007;PNC
2008;PNC
1998;IPG
1999;IPG
2000;IPG
2001;IPG
2002;IPG
2003;IPG
2008;IPG
1998;ITW
1999;ITW
2000;ITW
2001;ITW
2002;ITW
2005;ITW
2006;ITW
2007;ITW
2008;ITW
2009;ITW
2010;ITW
2011;ITW
2012;ITW
2013;ITW
2014;ITW
2015;ITW
2016;ITW
1998;AIG
1999;AIG
2000;AIG
2001;AIG
2003;AIG
2004;AIG
2005;AIG
2006;AIG
2007;AIG
2008;AIG
2009;AIG
2010;AIG
2011;AIG
2012;AIG
1999;PRU
2001;PRU
2002;PRU
2003;PRU
2008;PRU
2010;PRU
2011;PRU
2004;BKD
2000;COF
2001;COF
2002;COF
2009;COF
2012;COF
1999;MET
2000;MET
2001;MET
2002;MET
2003;MET
2004;MET
2006;MET
2009;MET
2010;MET
2011;MET
2015;MET
2016;MET
1999;HPQ
2000;HPQ
2013;HPQ
2014;HPQ
1998;NWL
2002;NWL
2003;NWL
2004;NWL
2005;NWL
2006;NWL
2007;NWL
2008;NWL
2009;NWL
2010;NWL
2011;NWL
2012;NWL
2013;NWL
2014;NWL
2015;NWL
2016;NWL
2003;ECL
2004;ECL
1998;AET
2004;AET
2005;AET
2005;PPG
2007;PPG
2008;PPG
2011;PPG
2012;PPG
2013;PPG
2015;PPG
1998;BAX
1999;BAX
2000;BAX
2001;BAX
2002;BAX
2003;BAX
2004;BAX
2005;BAX
2006;BAX
2007;BAX
2008;BAX
2009;BAX
2011;BAX
2012;BAX
2013;BAX
2014;BAX
2015;BAX
2016;BAX
1998;SANM.O
1999;SANM.O
2003;SANM.O
2005;SANM.O
2006;SANM.O
1998;GLW
1999;GLW
2000;GLW
2001;GLW
2002;GLW
2003;GLW
2004;GLW
2005;GLW
2006;GLW
2007;GLW
2008;GLW
2009;GLW
2010;GLW
2012;GLW
2014;GLW
2016;GLW
1998;CI
1999;CI
2000;CI
2001;CI
2002;CI
2003;CI
2005;CI
2006;CI
2007;CI
2008;CI
2009;CI
2010;CI
2011;CI
2012;CI
2014;CI
2015;CI
2011;NLSN.K
2012;NLSN.K
1998;HUM
1999;ORLY.O
2001;DGX
2008;DGX
2014;ODP.O
2015;ODP.O
2000;WRK
2001;WRK
2007;WRK
2003;JEC
2004;JEC
2009;JEC
2002;DD_pa
2010;DD_pa
2011;DD_pa
2013;DD_pa
2014;DD_pa
1998;RRD.P
2002;RRD.P
2003;RRD.P
2014;RRD.P
2015;RRD.P
1998;KMB
1999;KMB
2000;KMB
2001;KMB
2002;KMB
2004;KMB
2005;KMB
2006;KMB
2007;KMB
2008;KMB
2009;KMB
2010;KMB
2011;KMB
2012;KMB
2013;KMB
2014;KMB
2015;KMB
2016;KMB
2002;LPNT.O
2008;LPNT.O
2009;LPNT.O
2010;LPNT.O
2008;FDP
1998;UNP
1999;UNP
2000;UNP
2001;UNP
2002;UNP
2004;UNP
2005;UNP
2006;UNP
2008;UNP
2011;UNP
2012;UNP
2016;UNP
2005;BDX
2009;BDX
2010;BDX
1999;ARNC.K
2002;ARNC.K
2007;ARNC.K
2014;ARNC.K
2015;ARNC.K
1998;RGS
2006;RGS
2007;RGS
2010;RGS
2011;RGS
2012;RGS
2015;RGS
2016;RGS
1998;LLY
2015;LLY
1998;CAH
1999;CAH
2005;CAH
2007;CAH
2008;CAH
2001;AAP
2002;AAP
1999;GIS
2000;GIS
2015;GIS
2015;WYND.K
2016;WYND.K
2016;KHC.O
1998;MHK
2005;MHK
2011;HII
2014;HII
2007;TSLA.O
2008;TSLA.O
2009;TSLA.O
2010;TSLA.O
2011;TSLA.O
2012;TSLA.O
2013;TSLA.O
2014;TSLA.O
2015;TSLA.O
2016;TSLA.O
1998;TXT
1999;TXT
2001;TXT
2002;TXT
2003;TXT
2004;TXT
2005;TXT
2006;TXT
2007;TXT
2008;TXT
2009;TXT
2010;TXT
2011;TXT
2012;TXT
2014;TXT
2015;TXT
2000;STT
2001;STT
2012;STT
2000;GS
2001;GS
2003;GS
2006;GS
2010;GS
2015;GS
2016;GS
2007;BBT
2011;BBT
2015;BBT
2016;BBT
1998;R
2008;R
1998;CL
1999;CL
2000;CL
2001;CL
2002;CL
2003;CL
2004;CL
2006;CL
2007;CL
2008;CL
2009;CL
2010;CL
2011;CL
2012;CL
2013;CL
2014;CL
2015;CL
2016;CL
1998;XRX
1999;XRX
2000;XRX
2001;XRX
2002;XRX
2003;XRX
2004;XRX
2006;XRX
2007;XRX
2008;XRX
2009;XRX
2012;XRX
2013;XRX
2014;XRX
2015;XRX
2016;XRX
1999;EXC
2003;EXC
1998;MU.O
1999;MU.O
2008;MU.O
1998;ON.O
1999;ON.O
2000;ON.O
2001;ON.O
2002;ON.O
2003;ON.O
2004;ON.O
2005;ON.O
2006;ON.O
2007;ON.O
2008;ON.O
2009;ON.O
2010;ON.O
2011;ON.O
2012;ON.O
2013;ON.O
2015;ON.O
2016;ON.O
1998;NCR
2004;NCR
2005;NCR
2006;NCR
2008;NCR
2009;NCR
2010;NCR
2011;NCR
2012;NCR
1999;QCOM.O
2000;QCOM.O
2001;QCOM.O
2002;QCOM.O
2008;QCOM.O
2009;QCOM.O
2016;QCOM.O
2005;CNC
2006;CNC
2011;CNC
2012;CNC
1998;PGR
2000;PGR
2001;PGR
2002;PGR
2004;PGR
2005;PGR
2006;PGR
2007;PGR
2008;PGR
2009;PGR
2013;PGR
2014;PGR
2015;PGR
2016;PGR
1999;KSS
2003;KSS
1998;SYK
1999;SYK
2000;SYK
2001;SYK
2002;SYK
2003;SYK
2004;SYK
2005;SYK
2006;SYK
2008;SYK
2009;SYK
2010;SYK
2011;SYK
2012;SYK
2015;SYK
2016;SYK
2000;K
2001;K
2010;K
2011;K
1998;PWR
2006;PWR
2007;PWR
2008;PWR
2010;PWR
2011;PWR
2013;PWR
2014;PWR
2003;EME
2004;EME
2009;EME
2010;EME
2012;EME
2013;EME
1998;TEN
2003;TEN
2004;TEN
2005;TEN
2007;TEN
1998;YRCW.O
1999;YRCW.O
2000;YRCW.O
2001;YRCW.O
2002;YRCW.O
2003;YRCW.O
2004;YRCW.O
2005;YRCW.O
2006;YRCW.O
2007;YRCW.O
2008;YRCW.O
2009;YRCW.O
2010;YRCW.O
2011;YRCW.O
2012;YRCW.O
2013;YRCW.O
2014;YRCW.O
2015;YRCW.O
2016;YRCW.O
1998;SO
1999;SO
2012;SO
1998;NOV
1999;NOV
2001;NOV
2002;NOV
2012;NOV
2013;NOV
1999;ADM
2000;ADM
2001;ADM
2002;ADM
1998;LLL
1999;LLL
2000;LLL
2001;LLL
2002;LLL
2003;LLL
2004;LLL
2005;LLL
2006;LLL
2008;LLL
2010;LLL
2011;LLL
2012;LLL
2013;LLL
2014;LLL
2015;LLL
2016;LLL
2005;BG
2011;BG
2004;LDOS.K
2005;LDOS.K
2006;LDOS.K
2012;LDOS.K
2013;LDOS.K
1998;CAR.O
1999;CAR.O
2000;CAR.O
2001;CAR.O
2002;CAR.O
2003;CAR.O
2004;CAR.O
2009;NCLH.K
2000;SVU
2001;SVU
2010;SVU
2011;SVU
2013;SVU
2014;SVU
2015;SVU
2016;SVU
1998;TRV
1999;TRV
2002;TRV
2004;TRV
1998;GCO
2000;GCO
2001;GCO
2002;GCO
2007;GCO
2000;DAN
2001;DAN
2002;DAN
2003;DAN
2004;DAN
2008;DAN
2010;DAN
2000;AVY
2001;AVY
2002;AVY
2003;AVY
2005;AVY
2006;AVY
2007;AVY
2008;AVY
2009;AVY
2010;AVY
2011;AVY
2012;AVY
2013;AVY
2014;AVY
2016;AVY
2015;S
2016;S
1998;TXN.O
1999;TXN.O
2000;TXN.O
2001;TXN.O
2002;TXN.O
2003;TXN.O
2004;TXN.O
2006;TXN.O
2007;TXN.O
2009;TXN.O
2015;TXN.O
2004;ETE
2005;ETE
2008;ETE
2016;ETE
2000;EHC
2001;EHC
2002;EHC
2003;EHC
2004;EHC
2005;EHC
2006;EHC
2007;EHC
2008;EHC
2009;EHC
2010;EHC
2000;AMKR.O
2001;AMKR.O
2003;AMKR.O
2004;AMKR.O
2012;AMKR.O
1999;X
2000;X
2001;X
2002;X
2003;X
2004;X
2005;X
2006;X
2007;X
2009;X
2010;X
2013;X
2014;X
2015;X
2016;X
2000;DUK
2001;DUK
2002;DUK
2003;DUK
2004;DUK
2005;DUK
2006;DUK
2012;DUK
2013;DUK
2014;DUK
2015;DUK
2002;CRM
2010;ABBV.K
2011;ABBV.K
2012;ABBV.K
2013;ABBV.K
2014;ABBV.K
2015;ABBV.K
2016;ABBV.K
1998;BSX
1999;BSX
2015;BSX
2016;BSX
1998;DOV
1999;DOV
2000;DOV
2001;DOV
2002;DOV
2003;DOV
2004;DOV
2005;DOV
2008;DOV
2009;DOV
2010;DOV
2011;DOV
2012;DOV
2013;DOV
2016;DOV
2000;BWA
2001;BWA
2015;BWA
2016;BWA
1999;MAN
2000;MAN
2001;MAN
2002;MAN
2003;MAN
2005;MAN
2006;MAN
2007;MAN
2008;MAN
2009;MAN
2012;MAN
2014;MAN
2015;MAN
2016;MAN
1999;TTMI.O
2000;TTMI.O
2008;TTMI.O
2010;QRTEA.O
2012;QRTEA.O
1998;MAT.O
1999;MAT.O
2006;EXLS.O
2007;EXLS.O
2001;NSC
2002;NSC
2003;NSC
2004;NSC
2008;NSC
2010;NSC
2012;NSC
2013;NSC
2016;NSC
1998;AJG
1999;AJG
2000;AJG
2001;AJG
2002;AJG
2003;AJG
2005;AJG
2006;AJG
2008;AJG
2009;AJG
2010;AJG
2011;AJG
2012;AJG
2013;AJG
2014;AJG
2015;AJG
2016;AJG
2000;ESRX.O
2001;ESRX.O
2004;ESRX.O
2005;ESRX.O
2006;ESRX.O
2007;ESRX.O
2002;OI
2003;OI
2005;OI
2006;OI
2008;OI
2009;OI
2011;OI
2013;OI
2014;OI
1998;MAS
2002;MAS
2003;MAS
2007;MAS
2009;MAS
2012;MAS
2013;MAS
2014;MAS
2015;MAS
2016;MAS
2000;CERN.O
2001;CERN.O
2015;CERN.O
2016;CERN.O
2013;NWSA.O
2014;NWSA.O
1998;AN
1999;AN
2000;AN
2002;AN
2003;AN
2004;AN
2007;AN
2008;AN
2000;PAG
2001;PAG
2002;PAG
2003;PAG
2004;PAG
2005;PAG
2007;PAG
2009;PAG
2010;PAG
2008;KNX
2009;KNX
2010;KNX
2011;KNX
2012;KNX
2013;KNX
2014;KNX
2015;KNX
2016;KNX
2000;LB
2001;LB
2015;LB
2016;LB
2000;WYNN.O
2001;WYNN.O
2002;WYNN.O
2003;WYNN.O
2005;WYNN.O
2006;WYNN.O
2007;WYNN.O
2008;WYNN.O
2009;WYNN.O
2010;WYNN.O
2011;WYNN.O
2012;WYNN.O
2013;WYNN.O
2014;WYNN.O
2015;WYNN.O
2016;WYNN.O
1998;FCX
1999;FCX
2000;FCX
2001;FCX
2002;FCX
2003;FCX
2004;FCX
2005;FCX
2006;FCX
2007;FCX
2008;FCX
2009;FCX
2010;FCX
2011;FCX
2012;FCX
2013;FCX
2014;FCX
2015;FCX
2016;FCX
1999;KMX
2000;KMX
2004;KMX
2005;KMX
2009;KMX
2010;KMX
2007;FB.O
2008;FB.O
2009;FB.O
2010;FB.O
2011;FB.O
2012;FB.O
2013;FB.O
2014;FB.O
2015;FB.O
2016;FB.O
1998;NUE
1999;NUE
2001;NUE
2003;NUE
2004;NUE
2005;NUE
2006;NUE
2007;NUE
2008;NUE
2015;NUE
2016;NUE
1998;PCAR.O
1999;PCAR.O
2000;PCAR.O
2001;PCAR.O
2002;PCAR.O
2003;PCAR.O
2005;PCAR.O
2006;PCAR.O
2008;PCAR.O
2011;PCAR.O
2012;PCAR.O
2016;PCAR.O
2013;AXL
1998;GWW
1999;GWW
2002;GWW
2003;GWW
2004;GWW
2008;GWW
2010;GWW
2011;GWW
2012;GWW
2014;GWW
2015;GWW
2016;GWW
2004;FNF
2005;FNF
2007;FNF
2009;FNF
2011;FNF
2012;FNF
2013;FNF
2015;FNF
2016;FNF
1999;CSX.O
2002;CSX.O
2003;CSX.O
2008;CSX.O
1998;FISV.O
2000;FISV.O
2001;FISV.O
2002;FISV.O
2003;FISV.O
2005;FISV.O
2006;FISV.O
2007;FISV.O
2003;CCK
2004;CCK
2005;CCK
2006;CCK
2015;CCK
2016;CCK
1998;IRM
2007;IRM
2008;IRM
2009;IRM
2010;IRM
2004;UVV
2005;UVV
2009;FBHS.K
2010;FBHS.K
2011;FBHS.K
2012;FBHS.K
2013;FBHS.K
2014;FBHS.K
2016;FBHS.K
2000;STI
2001;STI
1998;BMY
1999;BMY
2002;BMY
2003;BMY
2004;BMY
2005;BMY
2006;BMY
2007;BMY
2008;BMY
2009;BMY
2011;BMY
2012;BMY
2015;BMY
2016;BMY
1998;PCG
2000;PCG
2001;PCG
2002;PCG
2003;PCG
2004;PCG
1998;VSH
2007;VSH
2002;DBD
2005;DBD
2006;DBD
2007;DBD
2008;DBD
2012;DBD
2014;DBD
1999;BKNG.O
2007;BKNG.O
2008;BKNG.O
2012;CIVI.K
2001;DDS
2004;DDS
2005;DDS
1998;FTR.O
1999;FTR.O
2001;FTR.O
2004;FTR.O
2005;FTR.O
2000;EXPE.O
2001;EXPE.O
2002;EXPE.O
2009;EXPE.O
2010;EXPE.O
2011;EXPE.O
1998;PZZA.O
2003;PZZA.O
2004;PZZA.O
2008;PZZA.O
2009;PZZA.O
2005;LEG
2006;LEG
2007;LEG
2011;LEG
2012;LEG
2013;LEG
2000;FDC
2001;FDC
2003;FDC
2004;FDC
2005;FDC
2007;FDC
2008;FDC
2013;FDC
2014;FDC
1998;ROK
1999;ROK
2004;ROK
2005;ROK
